Segment,Aging,N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
CU,0,1425717,3.787567939499915e-05,0.00010030041024971996,0.0004748487953780449,0.0018783531374038467,0.003492277920512977,0.0052738376550184925,0.007121329127730117,0.00905719718569674,0.011063906792161418,0.013151978969178316,0.01522532171531938,0.017316900899687664,0.01943454593281779,0.021531215153819575,0.023630620350316364,0.025695369857209816,0.027727287658163263,0.029720901802186717,0.03166526838730016,0.03355947542167194,0.035436354611242046,0.03723571449512048,0.03897488291810892,0.040618292198772346,0.04229682555712438,0.04392613506332532,0.04550252892846385,0.047048157886007955,0.04852364285423675,0.04990191071446716,0.051198959218648275,0.05245539804480474,0.05364292347794969,0.054761535518083125,0.05584322966910323,0.05686954698645338,0.057903365667860945,0.058910529723965176,0.05987009623488493,0.060782065200620156,0.06163120540671182,0.06243274806761899,0.06315242295080879,0.06383782760146574,0.06451180884127843,0.06514390424132872,0.06572078648896498,0.06622722436972818,0.06670030460918745,0.06716135738493169,0.06756227284210059,0.06795516999012609,0.06835608544729498,0.06874898259532049,0.06913386143420261,0.06948265788193955,0.06980739940224637,0.07010808599512301,0.07038070850599785,0.07058116623458233
CU,1,178034,0.00021905928081153035,0.005307974881202467,0.024388599930350384,0.039318332453351604,0.05269218239212735,0.06530775020501701,0.07765370659536942,0.08940988799892155,0.10040217037195143,0.1105013649078266,0.1203365649258007,0.1294359504364335,0.13800086803303255,0.14620861034262447,0.15376760570234638,0.16102045081606217,0.16780678126919724,0.17400996839660643,0.17989242669486638,0.1854760240386918,0.19065871034608067,0.19580495019561167,0.20071064342328077,0.205186268448227,0.2097406013213245,0.21373192615712955,0.21724067267525543,0.22037743174017027,0.22339354622566526,0.22642976814106364,0.22923475461257398,0.23172807592058323,0.23431188066315733,0.2366041276721335,0.23884610610635146,0.240756311947165,0.24260446064550797,0.2444836706665121,0.24634735002618574,0.2478848854979164,0.24937582898565533,0.2508046498280717,0.25231112397714117,0.25358463820625154,0.25470284582205566,0.25568127748588426,0.2564733412137456,0.25720328229628436,0.25818273120068763,0.25896629032421015,0.2599130909318,0.2607619466489494,0.26144756088203164,0.2621331751151138,0.26272084445775584,0.26330851380039777,0.26386353484622616,0.26441855589205465,0.2647450388601891,0.265104170125137
CU,2,73212,0.015530240944107524,0.08489045511664754,0.12058132546577063,0.14974321149538328,0.17635087144184014,0.2001584439709337,0.22076981915532973,0.23900453477571984,0.2552040649073922,0.27044746762825767,0.28392886412063595,0.296085341200896,0.3078347595025189,0.3186021368714688,0.32833486397206685,0.3370154043590867,0.34488926826569666,0.35237733037732794,0.3591990075703597,0.3657401016397706,0.3719655396951081,0.3774895199413935,0.38276798995451067,0.3877834132892332,0.39247205006446945,0.39673444713286604,0.40083108431526937,0.4047146016442529,0.407887719461837,0.41108451726313444,0.4139497952924454,0.4167913933380431,0.41946723149764764,0.42219042962467873,0.42479522783314333,0.427186906188188,0.43003287293593984,0.4324774853987524,0.43470317734250696,0.4369288692862617,0.43908158772366374,0.44097889888883157,0.442219448496826,0.443532971611173,0.44484649472552007,0.4460140708271618,0.4471451601756273,0.4482397627709165,0.44938427429358513,0.4502017825240629,0.45110104157758824,0.4516732973389225,0.452245553100257,0.452981310507687,0.4533900646229258,0.4538805695612123,0.45453457614559445,0.4551885827299767,0.45584258931435867,0.4564148450756931
CU,3,14363,0.4312469539789738,0.5148645826080902,0.5672909559284272,0.6026596115017754,0.631622920002785,0.6543201281069414,0.6729095592842721,0.6863468634686347,0.6997145443152545,0.7106454083408759,0.7183735988303279,0.72610178931978,0.7328558165941969,0.7385572681894839,0.7437324319452059,0.7493461689005655,0.7546090472962149,0.7586439207328795,0.7632050820091092,0.7668013822461364,0.7696959653637435,0.7735554095205532,0.7756605608788131,0.7774148536773627,0.7794756758374306,0.7814152731645533,0.7833548704916761,0.7848095684870182,0.7867491658141408,0.7878401893106473,0.7892948873059893,0.7909920349672217,0.7925679577955089,0.7943863302896864,0.7953561289532477,0.7960834779509187,0.7970330050000014,0.7983623428687172,0.7995017753276163,0.8000714915570659,0.800451302376699,0.8006412077865155,0.8010210186061486,0.8014008294257816,0.8017806402454147,0.8021604510650477,0.8021604510650477,0.8023503564748643,0.8023503564748643,0.8033089590512977,0.8042675616277314,0.8052261642041652,0.8057054654923816,0.8061847667805986,0.8071433693570319,0.8076226706452487,0.8081019719334656,0.8081019719334656,0.8090605745098991,0.8095398757981159
HU,0,4232680,4.3471275881947134e-05,0.00011623841159738039,0.0003591105398943459,0.0012880728049368248,0.0023521740363079656,0.0035029815625088594,0.004712853322245008,0.0059806080308457054,0.0072686808357825304,0.008582033132672444,0.009907434533203549,0.011223149399434874,0.012549704282130097,0.013896062838156446,0.015246789851535249,0.01658586764530751,0.017915043602414204,0.01920927190070127,0.020480784220755572,0.02171414534659844,0.022912850044111845,0.02408272292309905,0.025210658611502693,0.026299860644714578,0.027401668963381684,0.028474549778833527,0.029516672236436253,0.030529134848970168,0.031505346539753315,0.03244457496693215,0.033324849874900156,0.03418425304004196,0.03501912275308982,0.035818840057167234,0.03658853134524908,0.037307691045435916,0.038046761678996635,0.03875046762898198,0.03941163345234768,0.04003384687061587,0.04062735851670693,0.041187555605806704,0.041717000796145286,0.042221844467474894,0.042703624214733615,0.04315003927841697,0.04357851573448962,0.04395983927912845,0.04437296759500603,0.04475424023351475,0.04511958503333901,0.045465020034807756,0.04579850915726315,0.04611706593095189,0.04641571290628508,0.04669445008326272,0.046949295502213724,0.04718821308248028,0.047413193803897954,0.047596363948768976
HU,1,423105,0.00034034105009394833,0.0036539393294808616,0.018279150565462473,0.029021164959052718,0.03918412687158034,0.04882239633187979,0.05829285874664682,0.0670235520733624,0.07523664338639345,0.08313302844447595,0.09053780976353387,0.09770151617210858,0.1048215357190394,0.11138037145931556,0.11766153812859075,0.12362703890662269,0.12930902494900098,0.13473380174666255,0.1398107614974913,0.14467143165617188,0.149195976097325,0.15349253961702464,0.15768972683762916,0.1615975536579274,0.1655464292611277,0.1693496036831314,0.17293235836947868,0.1763021651756156,0.17956363007778572,0.18257852375023859,0.18554485036229257,0.1881599997683855,0.1905846168606059,0.19286353277162976,0.1950228989955179,0.1970216203273175,0.1992312085926706,0.20128374279014316,0.20328212041248458,0.20513969093948486,0.20668315333072412,0.20818870611937154,0.2094776326074942,0.21069615554794627,0.21187135322829337,0.21297073170345682,0.21394555005581847,0.21490412143564075,0.21591049317401392,0.21687310961941433,0.21777009312535564,0.21853581075237868,0.21939997778859038,0.22018757306209985,0.22094235186587968,0.2215330483210118,0.22206905065992788,0.22259411417560088,0.22306448357505784,0.22340358709559657
HU,2,164827,0.01129062592900435,0.07043142203643821,0.10135475377213685,0.12733350725305928,0.15019383960152158,0.171464626547835,0.19006594793328763,0.2071808623587155,0.22300957974118318,0.23732762229489102,0.25056574468988696,0.2628149514339277,0.27455856327525513,0.28535058847868605,0.29494022126368963,0.304338061392993,0.31271792511896535,0.32067732033051827,0.3279728178877248,0.3348330936493043,0.34146469355216447,0.3476389417375859,0.3534886177364381,0.3585637464718861,0.36364117678191576,0.3684423491576286,0.37300536814168894,0.3774254950907579,0.381474102748849,0.3855798672209368,0.3892188510453858,0.39250536785018925,0.3956108880773368,0.3986020946764912,0.40130751720566277,0.4039557829208376,0.40661510763033165,0.40899832758856663,0.41114903828258365,0.41300911239632804,0.4150290366292224,0.41694723805902134,0.4187055893696703,0.4204058133642648,0.42184446443661405,0.4231232653898133,0.42421315256583536,0.4252158487677758,0.42621215317225697,0.42713974692815354,0.42799863003546507,0.4288918684670691,0.4298538175472579,0.4307814113031543,0.431571583761881,0.4322243349234376,0.4328770860849944,0.4334954819222586,0.43421694373240044,0.43490405021824957
HU,3,30127,0.3981810336243237,0.4794370498224184,0.5307531450194178,0.565074517874332,0.5940186543631958,0.6169216981445216,0.6355096757061772,0.6504796362067249,0.6629269426096193,0.6752414777442162,0.6860291432933913,0.6947256613668802,0.7027265699748412,0.7095333131189274,0.716618694871251,0.7222710780669249,0.7279632667780614,0.7324214845098606,0.7369991187880471,0.7411786979116088,0.7447213887877707,0.7479058300247701,0.7502145499215946,0.7528019084266567,0.7554247324005439,0.7577389888480913,0.7597961056903556,0.7618017946115634,0.7645789023486205,0.7663274516645451,0.7681274289015264,0.7702359736648473,0.772138806743942,0.7731159372440176,0.7744016352704328,0.7752759099283951,0.7760936252642546,0.777156655200872,0.7783832282046612,0.7797733442756225,0.7807546026786538,0.7814087749473413,0.7827171194847166,0.7832895202198182,0.783780149421334,0.7841890070892636,0.785088493958709,0.7855791231602249,0.785809093629534,0.7860390640988433,0.7883387687919352,0.7897185916077905,0.790408503015718,0.7913283848929549,0.7917883258315733,0.7920182963008825,0.7922482667701917,0.7927082077088099,0.7927082077088099,0.7929381781781192
