Date,FDI,HD,GDP,RSI,CPI,Wage,UR,OP,Im,Ex,PCI,CCI,API,PII,MPI,PIR
01/05/19,,,,271.65,103.31,14091.99,1.11,70.53,611503.56,660066.11,133.72,51.2,128.1709423,136.18,104.8301206,1.75
01/06/19,261671.66,11354971,2669232,265.15,102.94,14393.49,0.94,63.3,523130.12,663364.58,129.5,48.1,134.9578957,133.84,100.8257788,1.75
01/07/19,,,,258.61,103,14552.47,1.14,64,593772.97,646820.42,130.99,47.8,130.2094961,130.27,100.4217527,1.75
01/08/19,,,,264.01,102.8,14096.55,1,59.25,559253.5,672888.23,132.33,47.2,128.5573925,127.64,100.8954776,1.5
01/09/19,266054.58,11473495,2606186,253.86,102.9,14242.26,1.02,62.33,539033.43,619724.89,131.91,46,129.192783,127.4,97.77855948,1.5
01/10/19,,,,255.3,102.74,14351.25,0.95,59.37,556740.8,620341.01,123.84,46.3,128.556701,147.04,96.50075253,1.5
01/11/19,,,,254.2,102.61,14160.22,1.12,62.74,531340.93,589672.62,140.04,44.5,131.6459683,146.42,97.35554055,1.25
01/12/19,272863.78,11633851,2803382,270.63,102.62,14122.12,0.96,65.85,516973.43,575784.28,127.58,44.5,132.1592779,141.76,97.86627681,1.25
01/01/20,,,,254.04,102.78,14513.61,1.07,63.6,579031.73,598975.38,134.33,44.1,135.3948369,123.78,103.0360299,1.25
01/02/20,,,,246.29,102.7,14061.07,1.09,55,455620.16,632640.95,127.12,43.1,135.1829293,116.41,100.179529,1
01/03/20,242070.99,11651002,2803382,250.24,101.82,14623.21,1.03,32.98,582218.53,671941.62,137.22,37.5,134.8588395,132.4,103.0159933,0.75
01/04/20,,,,179.6,99.75,14623.21,1.03,23.34,488663.47,583228.59,120.09,33.3,130.772131,112.86,74.90658428,0.75
01/05/20,,,,195.2,99.76,14623.21,1.03,31.02,399526.54,508166.9,118.09,38.1,124.4156084,111.23,77.20810515,0.5
01/06/20,262453.89,11736895,2803382,217.74,101.32,14623.21,1.03,39.93,419462.31,501423.81,123.45,42.5,128.9423055,121.14,81.12376804,0.5
01/07/20,,,,227.12,101.99,14657.05,2.15,42.81,443686.04,581091.85,130.73,41,132.7924944,117.23,86.25334858,0.5
01/08/20,,,,249.05,102.29,14580.52,1.86,44.26,449754.98,626792.4,131.95,43,138.6415078,121.21,91.2505071,0.5
01/09/20,254920.8,11895411,2803382,236.84,102.18,14624.21,1.79,41.09,498098.7,608595.2,132.39,45.1,141.4138642,124.74,95.40487189,0.5
01/10/20,,,,237.96,102.23,14836.22,2.09,40.47,493703.87,602948,123.47,44.6,144.447157,141.82,96.14432461,0.5
01/11/20,,,,237.96,102.19,14483.88,2,43.23,517762.81,575772.82,141.47,46.3,144.4632294,148.49,98.25339318,0.5
01/12/20,254920.8,11895411,2803382,237.96,102.34,14483.88,2,43.23,517762.81,575772.82,141.47,46.3,144.4632294,148.49,98.25339318,0.5
