Segment,Aging,N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
CU,0,1425717,0.00017708290706594575,0.000702468553726392,0.001539397214707206,0.0026463410443215317,0.003983287927173151,0.0055131412175431355,0.007202111375663826,0.009019747885569942,0.010938818008007936,0.012935116857537843,0.014987248599933039,0.017076399173761865,0.019186111502967767,0.021302069184945628,0.023411891849038437,0.025504943752197428,0.027572156201936565,0.029605863802704257,0.031599654160697356,0.03354823046685985,0.03544728625574097,0.03729339157625754,0.03908388978825111,0.04081680420234786,0.042490753800903266,0.04410487730859632,0.04565876491834317,0.047152397018756405,0.04858608931141942,0.0499604437484195,0.051276304761989175,0.05253472029812849,0.05373690720433247,0.05488422055780861,0.0559781265546948,0.0570201786127497,0.05801199636978963,0.0589552472878284,0.059851630598527106,0.06070286334925151,0.061510668330883235,0.062276763688628875,0.06300285403553434,0.06369062290534451,0.06434172639685592,0.06495778787609609,0.06554039361562021,0.0660910892620444,0.06661137703371343,0.06710271356022017,0.06756650828442609,0.06800412235575051,0.06841686795087001,0.06880600796465859,0.06917275602026138,0.06951827675268751,0.06984368632527439,0.07015005314286739,0.07043839872961442,0.07070969874293415,0.07096488409851413,0.0712048421841649,0.07143041814302628,0.07164241620902215,0.07184160107961192,0.07202869931281754,0.07220440073723135,0.07236935986525396,0.07252419730118959,0.07266950113705324,0.07280582833003763,0.07293370605655651,0.07305363303864179,0.0731660808392314,0.07327149512355623,0.07337029688442455,0.07346288362972092,0.07354963053088921,0.07363089153156586,0.07370700041587135,0.07377827183616581,0.07384500230032959,0.07390747111884766,0.07396594131216268,0.07402066047891757,0.07407186162583863,0.07411976396011759,0.07416457364523844,0.07420648452126395,0.07424567879065012,0.07428232767069748,0.07431659201377548,0.07434862289647409,0.07437856217884509,0.07440654303489647,0.0744326904554975,0.07445712172484042,0.07447994687158839,0.074501269095819,0.0745211851728492,0.07453978583500098,0.0745571561323387,0.07457337577337857,0.07458851944673998,0.0746026571246749,0.0746158543493796,0.07462817250295894,0.07463966906188038,0.07465039783672132,0.07466040919798056,0.07466975028869174,0.07467846522454498,0.07468659528219082,0.07469417907637078,0.07470125272648803,0.07470785001320324,0.07471400252561236,0.07471973979953568,0.07472508944742141,0.07473007728034167,0.07473472742253436,0.07473906241892089,0.07474310333600764,0.07474686985655685,0.07475038036839277,0.07475365204768886,0.0747567009370628,0.07475954201878882,0.07476218928341903,0.0747646557940898,0.07476695374677315,0.07476909452671929,0.07477108876132117,0.07477294636962022,0.07477467660865839,0.07477628811687084,0.07477778895470155,0.07477918664261383,0.0747804881966576,0.07478170016174536,0.07478282864278032,0.07478387933377095,0.07478485754505867,0.07478576822877762,0.0747866160026579,0.07478740517227757,0.07478813975186166,0.07478882348372083,0.07478945985641643,0.07479005212173326,0.07479060331053684,0.07479111624758648,0.07479159356537152,0.07479203771703381,0.07479245098843547,0.07479283550942718,0.07479319326436913,0.07479352610195293,0.0747938357443703,0.07479412379587101,0.07479439175074995,0.07479464100080095,0.07479487284227204,0.07479508848235512,0.07479528904524069,0.074795475577766,0.07479564905468397,0.07479581038357754,0.07479596040944302,0.07479609991896455,0.07479622964450007,0.07479635026779786,0.0747964624234618,0.07479656670218207,0.07479666365374676,0.0747967537898493,0.07479683758670516,0.07479691548749075,0.07479698790461635,0.07479705522184427
CU,1,178034,0.007297668659623459,0.01766848326266542,0.029097373291296524,0.04093655435845628,0.05284286539387494,0.0646091507434458,0.07610336156534833,0.08723983427336751,0.09796354900225654,0.10824062146514825,0.11805215891823127,0.12739009110676797,0.1362542366520146,0.14465018134050253,0.15258771127249615,0.16007963734302624,0.1671409028880342,0.1737879005723598,0.18003794658537742,0.18590887479036122,0.19141872341431396,0.19658549380914672,0.2014269657707497,0.20596055750629938,0.21020322100495226,0.2141713655668847,0.21788080376628416,0.2213467152937677,0.2245836250331348,0.22760539244088823,0.23042520986141046,0.2330556078604662,0.23550846602041817,0.23779502793147658,0.23992591934912516,0.2419111686798208,0.24376022911390868,0.24548200185323618,0.24708485998656854,0.2485766726528704,0.24996482920422702,0.2512562631393632,0.2524574756275977,0.2535745584834268,0.25461321648523777,0.25557878895909736,0.25647627057114086,0.2573103312906048,0.25808533550068524,0.25880536024671524,0.25947421262111353,0.2600954462925412,0.2606723771930496,0.26120809838197573,0.2617054941091749,0.26216725310306044,0.2625958811110202,0.2629937127212184,0.2633629224957009,0.2637055354451881,0.26402343687604507,0.26431838163973675,0.2645920028146577,0.26484581984962596,0.26508124619758255,0.2652995964671851,0.265502093119044,0.2656898727323549,0.2658639918666467,0.2660254325423088,0.2661751073624937,0.26631386429793064,0.2664424911551308,0.2665617197474324,0.2666722297873202,0.26677465251747273,0.2668695740970375,0.266957538758715,0.2670390517513501,0.2671145820818803,0.26718456506968113,0.26724940472557474,0.2673094759670313,0.26736512668039103,0.26741667964027066,0.2674644342956885,0.26750866843184323,0.2675496397159201,0.2675875871347651,0.2676227323317633,0.2676552808497881,0.2676854232866387,0.26771333636896577,0.26773918395029206,0.2677631179383625,0.26778527915671235,0.2678057981450161,0.2678247959024735,0.26784238457820375,0.26785866811235054,0.2678737428313488,0.26788769800057105,0.26790061633735046,0.267912574487172,0.2679236434656334,0.26793388906859594,0.2679433722527801,0.26795214948890267,0.26796027308930953,0.2679677915119179,0.2679747496421595,0.26798118905449564,0.26798714825496434,0.2679926629061195,0.26799776603562453,0.26800248822967393,0.2680068578123343,0.26801090101181846,0.2680146421146345,0.26801810360848416,0.2680213063147248,0.2680242695111477,0.2680270110457756,0.2680295474423289,0.268031893997966,0.26803406487385784,0.26803607317911776,0.2680379310485706,0.26803964971480837,0.26804123957494963,0.2680427102524894,0.26804407065459607,0.2680453290251902,0.26804649299411143,0.2680475696226614,0.26804856544578665,0.26804948651114885,0.2680503384153094,0.2680511263372411,0.2680518550693624,0.26805252904627674,0.2680531523713851,0.26805372884152895,0.26805426196980764,0.26805475500670545,0.2680552109596525,0.26805563261113496,0.26805602253546146,0.26805638311428537,0.26805671655097413,0.26805702488391137,0.2680573099988105,0.2680575736401128,0.2680578174215377,0.2680580428358485,0.26805825126389055,0.2680584439829575,0.2680586221745334,0.26805878693145885,0.2680589392645622,0.26805908010879714,0.268059210328922,0.26805933072475546,0.2680594420360402,0.26805954494694334,0.2680596400902206,0.2680597280510697,0.26805980937069596,0.26805988454961066,0.2680599540506839,0.26806001830196785,0.2680600776993102,0.2680601326087707,0.26806018336885795,0.2680602302925979,0.2680602736694481,0.2680603137670679,0.26806035083295665,0.26806038509596863,0.2680604167677147
CU,2,73212,0.05153110231647944,0.08848510363510204,0.11995672187286656,0.14765687971242764,0.1724194008144883,0.19475886945979362,0.21503418462081356,0.23351498629838072,0.25041405706312553,0.2659051641609237,0.2801337824752961,0.29322398292898094,0.3052830968785628,0.3164050125089145,0.32667258834454505,0.33615947362273957,0.3449315163478476,0.3530478761622732,0.3605619204003521,0.36752195725112075,0.37397184407227896,0.3799514982934352,0.38549733109587914,0.3906426189905459,0.39541782480771837,0.3998508769962945,0.4039674142033715,0.40779100066404855,0.4113433168391825,0.4146443289005011,0.4177124400113281,0.4205646258398947,0.4232165563366087,0.4256827054817883,0.427976450447844,0.43011016140593916,0.43209528303140404,0.43394240861673317,0.4356613475797809,0.4372611870530832,0.43875034815439257,0.44013663746564247,0.4414272941853295,0.4426290333659123,0.44374808560178586,0.44479023349349733,0.4457608451791784,0.4466649051938521,0.447507042890699,0.4482915586349803,0.44902244796067076,0.4497034238615664,0.45033793737239525,0.45092919658098896,0.45148018419965874,0.4519936738123563,0.45247224490382526,0.45291829676762424,0.45333406138149934,0.4537216153310026,0.45408289085539527,0.4544196860836691,0.45473367452288427,0.45502641385591064,0.4552993541010063,0.45555384518142855,0.455791143949414,0.45601242070533277,0.4562187652496044,0.4564111925020134,0.4565906477203627,0.4567580113479349,0.45691410351695777,0.4570596882331926,0.457195477264852,0.4573221337572929,0.45744027559331857,0.4575504785174317,0.4576532790410131,0.45774917714413693,0.45783863878856906,0.4579220982554232,0.45799996031995704,0.4580726022750765,0.45814037581427247,0.4582036087839318,0.4582626068142442,0.45831765483725984,0.45836901850003225,0.4584169454802149,0.45846166671094585,0.4585033975213691,0.45854233869868644,0.45857867747721337,0.4586125884595238,0.45864423447440733,0.4586737673760284,0.45870132878836595,0.45872705079872583,0.4587510566038484,0.45877346111188977,0.45879437150332175,0.4588138877535845,0.4588321031201262,0.4588491045962804,0.45886497333426196,0.4588797850394013,0.45889361033759124,0.4589065151177831,0.45891856085123967,0.4589298048891382,0.45894030074000086,0.45895009832833306,0.45895924423575185,0.4589677819257988,0.4589757519535493,0.45898319216105476,0.45899013785958115,0.45899662199954244,0.4590026753289653,0.4590083265412647,0.4590136024130548,0.45901852793267284,0.4590231264200447,0.4590274196384791,0.45903142789893736,0.45903517015728795,0.4590386641050202,0.45904192625386003,0.45904497201469946,0.4590478157712236,0.4590504709485944,0.45905295007752345,0.45905526485404535,0.45905742619528195,0.4590594442914671,0.45906132865448407,0.45906308816314995,0.45906473110546764,0.4590662652180466,0.459067697722886,0.459069035361695,0.45907028442791725,0.4590714507966127,0.4590725399523424,0.4590735570151874,0.4590745067650301,0.45907539366421296,0.45907622187868324,0.45907699529772567,0.45907771755237836,0.45907839203261847,0.45907902190340216,0.4590796101196335,0.45908015944013564,0.4590806724406896,0.4590811515262045,0.4590815989420761,0.45908201678478894,0.459082407011811,0.459082771450831,0.45908311180837846,0.4590834296778718,0.4590837265471291,0.45908400380538006,0.45908426274981046,0.45908450459167194,0.459084730461985,0.4590849414168626,0.4590851384424804,0.4590853224597155,0.45908549432847784,0.4590856548517532,0.4590858047793777,0.4590859448115618,0.4590860756021793,0.45908619776183907,0.45908631186075227,0.45908641843140896,0.4590865179710773
CU,3,14363,0.44004138596109127,0.5167641908203771,0.5650333099359565,0.6000964496351334,0.6273249277300478,0.6493103922307278,0.6675240820405798,0.682890320755494,0.6960317120836689,0.7073894962764808,0.7172887181061361,0.7259762130557986,0.7336440632247747,0.7404447686931571,0.7465014422757061,0.7519148827845886,0.7567686178351081,0.7611325841773521,0.7650658688688848,0.7686187876965875,0.7718344861236426,0.7747501898620553,0.777398194079401,0.779806654735949,0.7820002281098807,0.784000592427669,0.7858268769222998,0.7874960174646789,0.7890230534112758,0.7904213769872428,0.7917029440413038,0.792878453133455,0.7939574984858175,0.7949487012250264,0.7958598224883175,0.796697861294643,0.797469139552498,0.798179376154924,0.7988337517748628,0.7994369657022079,0.7999932858435035,0.8005065928255117,0.8009804189964999,0.8014179829976553,0.8018222204764504,0.8021958114300983,0.8025412045973039,0.8028606392578234,0.803156164749904,0.8034296579738481,0.8036828391144502,0.8039172857848197,0.8041344457682611,0.8043356485127306,0.8045221155133456,0.8046949697019886,0.8048552439488524,0.8050038887684504,0.8051417793119157,0.8052697217180805,0.8053884588876858,0.8054986757379332,0.8056010039883433,0.8056960265233795,0.8057842813724557,0.8058662653436757,0.8059424373438673,0.8060132214141348,0.8060790095071835,0.8061401640300291,0.8061970201733651,0.8062498880467633,0.8062990546370183,0.8063447856052808,0.8063873269371244,0.8064269064583635,0.8064637352282239,0.8064980088204072,0.8065299085016037,0.806559602316145,0.8065872460846994,0.8066129843241974,0.8066369510955388,0.8066592707850535,0.8066800588251555,0.8066994223591656,0.8067174608548384,0.806734266670742,0.8067499255792848,0.8067645172498609,0.8067781156952879,0.8067907896844531,0.8068026031238306,0.8068136154103203,0.8068238817576487,0.8068334534983951,0.8068423783635312,0.8068507007412162,0.8068584619164404,0.8068657002929895,0.806872451599079,0.8068787490779019,0.8068846236642359,0.8068901041481628,0.8068952173268722,0.8068999881454441,0.8069044398274359,0.8069085939960355,0.806912470786482,0.8069160889504009,0.8069194659526556,0.8069226180612625,0.8069255604308851,0.8069283071803734,0.8069308714647895,0.8069332655423166,0.8069355008364296,0.8069375879936667,0.8069395369373231,0.8069413569173621,0.8069430565568149,0.8069446438949232,0.8069461264272573,0.8069475111430277,0.8069488045597899,0.8069500127557293,0.806951141399697,0.8069521957791593,0.8069531808262044,0.8069541011417498,0.8069549610180712,0.8069557644597767,0.8069565152033324,0.8069572167352426,0.8069578723089786,0.8069584849607448,0.8069590575241617,0.8069595926439426,0.8069600927886343,0.8069605602624861,0.8069609972165087,0.806961405658778,0.8069617874640381,0.8069621443826491,0.806962478048928,0.8069627899889226,0.8069630816276586,0.8069633542958952,0.8069636092364232,0.8069638476099384,0.8069640705005174,0.8069642789207238,0.8069644738163708,0.806964656070963,0.8069648265098388,0.8069649859040352,0.8069651349738919,0.8069652743924156,0.806965404788416,0.8069655267494349,0.8069656408244764,0.8069657475265566,0.8069658473350825,0.806965940698071,0.8069660280342222,0.8069661097348518,0.8069661861656976,0.8069662576686032,0.8069663245630918,0.8069663871478348,0.8069664457020219,0.8069665004866428,0.8069665517456808,0.8069665997072298,0.8069666445845366,0.8069666865769735,0.806966725870948,0.8069667626407515,0.8069667970493519,0.8069668292491349
HU,0,4232680,0.00013836094583681945,0.0005145983579359317,0.001088925954339191,0.0018294658881751386,0.002708949822118547,0.0037036590514420912,0.004792825477884688,0.005958215196129809,0.0071838072765988996,0.008455531320904777,0.009761045660059404,0.011089545935852175,0.012431597656554456,0.013778988397408959,0.015124596532256911,0.016462274142712684,0.01778674225431974,0.01909349689888364,0.020378724756005002,0.02163922731796969,0.022872352670706336,0.024075934102122984,0.02524823484598917,0.0263878983501367,0.027493903525895765,0.028565524494047652,0.029602294393099672,0.030603972859816204,0.03157051683076291,0.03250205434798462,0.033398861082497885,0.034261339316586134,0.035089999150346676,0.03588544171993153,0.03664834423473762,0.03737944665868196,0.03807953987687186,0.03874945520361806,0.03939005510101135,0.04000222498932529,0.0405868660414401,0.04114488886341949,0.04167720797240261,0.042184736991187986,0.04266838448635984,0.04312905038360683,0.043567622900073516,0.04398497593921838,0.04438196689878142,0.044759434847132865,0.04511819902752436,0.0454590576536323,0.04578278696330275,0.04609014050061109,0.04638184859926285,0.04665861804301243,0.04692113188118603,0.047170049379585265,0.047406006089037646,0.04762961401566766,0.04784146187860293,0.048042115442319115,0.048232117912177366,0.048411990382932514,0.04858223233109925,0.048743322143067716,0.04889571767176819,0.04903985681550644,0.04917615811333294,0.04930502135197922,0.0494268281799989,0.049541942725294906,0.04965071221270473,0.04975346757875555,0.04985052408109724,0.04994218190047529,0.05002872673342408,0.05011043037414448,0.05018755128428366,0.05026033514956094,0.050329015422384514,0.05039381384978223,0.05045494098612759,0.05051259669028151,0.05056697060689323,0.05061824263171138,0.05066658336085044,0.05071215452403978,0.050755109401953366,0.05079559322777964,0.05083374357324301,0.05086969071933315,0.050903558012035596,0.050935462203387974,0.050965513778211936,0.05099381726689112,0.051020471544581586,0.051045570117253254,0.051069201394969496,0.05109144895281773,0.05111239177990675,0.05113210451684718,0.05115065768213016,0.051168117887815896,0.05118454804493964,0.051200007559036094,0.05121455251617679,0.05122823585990675,0.051241107559458064,0.051253214769609104,0.05126460198254777,0.05127531117208757,0.051285381930574386,0.05129485159881173,0.05130375538932097,0.05131212650324267,0.051319996241174046,0.05132739410822714,0.05133434791358127,0.05134088386479316,0.05134702665711764,0.051352799558081516,0.051358224487543555,0.051363322093463615,0.05136811182359442,0.05137261199330052,0.05137683984969962,0.051380811632313395,0.05138454263040571,0.051388047237178824,0.05139133900098971,0.05139443067374143,0.05139733425659719,0.0514000610431573,0.05140262166023316,0.05140502610634536,0.051407283788067096,0.05140940355432804,0.051411393728788085,0.05141326214038496,0.051415016152154526,0.051416662688417415,0.051418208260421164,0.051419658990522116,0.05142102063498731,0.05142229860549231,0.05142349798938684,0.05142462356879664,0.051425679838626004,0.05142667102352244,0.051427601093861214,0.051428473780804826,0.05142929259048931,0.05143006081738659,0.051430781556889266,0.05143145771716198,0.05143209203030091,0.05143268706284063,0.05143324522564571,0.05143376878322201,0.05143425986248103,0.05143472046098849,0.05143515245472705,0.051435557605400896,0.05143593756730869,0.05143629389380994,0.051436628043408185,0.05143694138547337,0.05143723520562416,0.051437510710790314,0.051437769033973416,0.05143801123872386,0.05143823832335054,0.05143845122487896,0.05143865082277255,0.05143883794243096,0.05143901335847875,0.05143917779785647,0.05143933194272611,0.05143947643320166
HU,1,423105,0.0055310735623581185,0.01320467927567034,0.021634350849372905,0.030388285283503444,0.03923772078026642,0.04804279656437124,0.05671222728315951,0.06518461017392758,0.07341832027532881,0.08138547098418955,0.08906804007990343,0.09645525208222921,0.10354173832807309,0.11032620360091186,0.11681043643377793,0.12299856047364272,0.12889645964939525,0.13451133156051764,0.13985133729988034,0.14492532499403796,0.1497426104772754,0.15431280276622686,0.158645665012889,0.16275100378854623,0.16663858114931315,0.1703180451268586,0.1737988751907688,0.1770903399211094,0.18020146466629422,0.1831410073817134,0.18591744117687464,0.18853894236382734,0.1910133830125663,0.19334832719139763,0.19555103021052342,0.19762844030197788,0.19958720226357315,0.20143366267269902,0.20317387634070688,0.2048136137327038,0.20635836912279232,0.20781336929270555,0.20918358261365175,0.21047372837802203,0.211688286270269,0.21283150588539473,0.2139074162196848,0.21491983507202767,0.2158723783057703,0.21676846893089213,0.2176113459746064,0.21840407311554458,0.2191495470626295,0.2198505056647734,0.2205095357417608,0.2211290806302351,0.22171144744167504,0.2222588140317274,0.22277323568231253,0.22325665149960944,0.22371089053240592,0.2241376776164132,0.22453863895103046,0.22491530741573956,0.22526912763383886,0.2256014607916146,0.2259135892213192,0.22620672075649625,0.22648199286827903,0.22674047659130434,0.22698318024784067,0.22721105297863742,0.22742498808887046,0.22762582621739405,0.22781435833731897,0.2279913285957253,0.2281574370000914,0.22831334195878192,0.22845966268269036,0.2285969814548798,0.22872584577480934,0.2288467703834785,0.2289602391755659,0.2290667070043866,0.22916660138524267,0.22926032410249722,0.2293482527254638,0.2294307420379686,0.22950812538621787,0.22958071594938237,0.2296488079370989,0.22971267771788353,0.22977258488225363,0.22982877324416665,0.22988147178419904,0.22993089553771673,0.22997724643111706,0.2300207140690657,0.23006147647549516,0.23009970079098735,0.23013554392902189,0.23016915319343917,0.23020066685934001,0.23023021471952293,0.23025791859844616,0.23028389283559095,0.23030824474000053,0.23033107501766928,0.23035247817336488,0.23037254288837608,0.23039135237559552,0.2304089847132683,0.23042551315865964,0.23044100644282572,0.23045552904760325,0.23046914146586925,0.23048190044606318,0.23049385922190538,0.23050506772819213,0.23051557280349752,0.23052541838056254,0.23053464566510784,0.230543293303763,0.23055139754176435,0.23055899237103586,0.23056610966923105,0.23057277933028,0.23057902938695324,0.2305848861259246,0.2305903741957857,0.23059551670843922,0.23060033533427066,0.23060485039147724,0.23060908092990723,0.2306130448097441,0.23061675877534854,0.23062023852455318,0.23062349877368746,0.23062655331859233,0.2306294150918706,0.23063209621660175,0.23063460805673863,0.2306369612643882,0.23063916582416769,0.2306412310948153,0.23064316584822406,0.23064497830605668,0.23064667617409046,0.2306482666744317,0.23064975657573067,0.23065115222152013,0.23065245955679356,0.23065368415293075,0.2306548312310738,0.23065590568404826,0.23065691209691988,0.23065785476627096,0.23065873771827589,0.23065956472564983,0.23066033932354035,0.2306610648244279,0.23066174433209613,0.2306623807547298,0.2306629768171948,0.23066353507255058,0.23066405791284314,0.23066454757922267,0.23066500617142868,0.23066543565668127,0.23066583787801567,0.23066621456209496,0.23066656732653343,0.23066689768676055,0.23066720706245508,0.2306674967835754,0.23066776809601158,0.23066802216688295,0.23066826008950264,0.23066848288803093,0.23066869152183606
HU,2,164827,0.04085867709445788,0.0723211613295421,0.09985491043892793,0.1245636326312502,0.14700196293462636,0.16752118966490445,0.18637206698385067,0.20374698622117113,0.21980070994767717,0.23466186830532595,0.24843991228900356,0.26122960799396716,0.27311409848757845,0.2841670811782276,0.29445441227179886,0.30403532500289676,0.3129633784736768,0.321287212978456,0.32905116269734624,0.33629576084969803,0.34305816211354634,0.3493725002382974,0.3552701940662701,0.3607802118819861,0.36592930165650545,0.3707421930470626,0.37524177575304024,0.3794492578867178,0.38338430730190876,0.3870651782738967,0.39050882549665883,0.3937310070273429,0.39674637754108344,0.3995685730452199,0.4022102880287825,0.4046833458817646,0.4069987633023963,0.4091668093142224,0.41119705943429274,0.4130984454661022,0.4148793013336698,0.4165474053244267,0.41811001906688033,0.4195739235331325,0.42094545232529634,0.4222305224778796,0.42343466298466254,0.4245630412379562,0.4256204875499666,0.4266115179099418,0.4275403551165583,0.4284109484123523,0.42922699173571555,0.4299919406958785,0.43070902836724745,0.4313812799913102,0.4320115266669841,0.4326024181036399,0.4331564345050273,0.4336758976468728,0.43416298120596775,0.4346197203940494,0.43504802094566414,0.4354496675054442,0.43582633145678984,0.43617957823080145,0.43651087413142037,0.43682159271008386,0.43711302072076685,0.43738636368403844,0.43764275108670136,0.4378832412416754,0.43810882583103505,0.4383204341534876,0.4385189370960824,0.43870515084855793,0.4388798403774497,0.4390437226758986,0.4391974698039987,0.4393417117335062,0.439477039009784,0.4396040052429833,0.43972312943964637,0.4398348981851611,0.4399397676867943,0.440038165686378,0.44013049325111586,0.4402171264504126,0.4402984179261027,0.4403746983629656,0.4404462778659594,0.44051344725018043,0.4405764792491602,0.4406356296467429,0.4406911383374435,0.440743230319865,0.4407921166274561,0.4408379952006098,0.44088105170384545,0.4409214602915723,0.44095938432570647,0.44099497704820256,0.44102838221136215,0.44105973466859744,0.44108916092815686,0.44111677967215607,0.44114270224311064,0.44116703310002203,0.4411898702459413,0.4412113056288084,0.4412314255172518,0.4412503108529265,0.44126803758086597,0.44128467695923085,0.44130029584974984,0.44131495699006423,0.4413287192491131,0.44134163786662106,0.44135376467768656,0.4413651483234029,0.4413758344483868,0.4413858658860329,0.4413952828322629,0.4414041230084868,0.44141242181445095,0.44142021247160373,0.44142752615757114,0.44143439213229524,0.4414408378563571,0.4414468891019692,0.44145257005709454,0.44145790342312097,0.4414629105064905,0.4414676113046599,0.44147202458674517,0.44147616796918,0.4414800579866983,0.44148371015893,0.4414871390528837,0.4414903583415704,0.44149338085900836,0.44149621865183225,0.4414988830277185,0.441501384600823,0.4415037333344166,0.4415059385808919,0.4415080091193033,0.441509953190595,0.4415117785306564,0.4415134924013433,0.44151510161958746,0.44151661258471403,0.44151803130407774,0.441519363417121,0.4415206142179515,0.44152178867653163,0.44152289145856327,0.4415239269441511,0.44152489924531774,0.4415258122224423,0.44152666949968866,0.44152747447948565,0.441528230356118,0.44152894012848165,0.4415296066120567,0.44153023245014433,0.4415308201244141,0.441531371964804,0.44153189015881306,0.44153237676022283,0.4415328336972847,0.44153326278040483,0.4415336657093571,0.4415340440800545,0.44153439939090494,0.44153473304877733,0.4415350463746021,0.44153534060862837,0.44153561691535925,0.44153587638818415
HU,3,30127,0.40647280478775916,0.4808782758983946,0.5283538024118603,0.5632672596586841,0.5906930091168497,0.6130834874309802,0.6318328900834024,0.64781840380583,0.6616318257512006,0.6736933277609073,0.6843130809479235,0.693727186198186,0.7021198643406571,0.7096378101043952,0.7163998380072084,0.7225035749505424,0.7280302317395391,0.7330480855800078,0.7376150741220349,0.7417807626085545,0.7455878594439712,0.7490734004399636,0.7522696859446016,0.7552050309157121,0.7579043714965311,0.7603897601634304,0.7626807733839225,0.7647948498793469,0.7667475733282006,0.768552910202918,0.7702234110854164,0.771770382034227,0.7732040312240478,0.7745335950375293,0.7757674469804263,0.7769131921578768,0.7779777495496123,0.7789674239244352,0.7798879689160941,0.780744642526337,0.7815422561131001,0.7822852177523787,0.7829775707234388,0.7836230277525921,0.784225001556005,0.7847866321431761,0.7853108112768532,0.7858002044298795,0.7862572705328915,0.7866842797673965,0.78708332962532,0.7874563594276269,0.7878051634702669,0.7881314029448154,0.7884366167632174,0.7887222314005451,0.7889895698562714,0.7892398598229283,0.7894742411409029,0.789693772609295,0.789899438215051,0.7900921528358311,0.7902727674661225,0.7904420740109028,0.7906008096865359,0.7907496610645244,0.79088926779013,0.791020226004682,0.7911430914975512,0.7912583826112364,0.7913665829207593,0.7914681437065483,0.7915634862381892,0.7916530038848101,0.7917370640664196,0.791816010059214,0.7918901626667052,0.7919598217674623,0.7920252677493101,0.7920867628389753,0.7921445523353833,0.792198865754123,0.7922499178899418,0.792297909803573,0.7923430297386614,0.7923854539740831,0.792425347616518,0.7924628653377436,0.792498152060753,0.792531343598476,0.7925625672485809,0.7925919423475594,0.7926195807870505,0.792645587495124,0.7926700608850388,0.7926930932737964,0.7927147712726355,0.7927351761514465,0.7927543841789422,0.7927724669402788,0.7927894916336978,0.7928055213476435,0.7928206153197019,0.7928348291786119,0.7928482151705052,0.79286082237045,0.7928726968802972,0.7928838820137514,0.7928944184695315,0.7929043444934155,0.7929136960299155,0.7929225068642711,0.7929308087554064,0.7929386315604446,0.7929460033513401,0.7929529505241433,0.7929594979013823,0.7929656688280105,0.7929714852613363,0.7929769678553306,0.7929821360396694,0.7929870080938566,0.7929916012167406,0.79299593159172,0.7930000144479156,0.7930038641175651,0.7930074940898814,0.7930109170615984,0.7930141449844145,0.7930171891095291,0.7930200600294567,0.7930227677172881,0.7930253215635593,0.793027730410879,0.7930300025864527,0.7930321459326358,0.7930341678356383,0.7930360752524943,0.7930378747364063,0.7930395724605618,0.7930411742405188,0.7930426855552467,0.7930441115669068,0.7930454571394474,0.7930467268560888,0.7930479250357637,0.7930490557485778,0.7930501228303504,0.793051129896291,0.7930520803538628,0.7930529774148843,0.7930538241069153,0.7930546232839667,0.7930553776365814,0.7930560897013174,0.7930567618696738,0.7930573963964911,0.7930579954078574,0.7930585609085506,0.7930590947890443,0.7930595988321025,0.7930600747189895,0.7930605240353155,0.7930609482765414,0.7930613488531633,0.7930617270955928,0.7930620842587552,0.7930624215264191,0.7930627400152751,0.7930630407787763,0.7930633248107585,0.7930635930488485,0.7930638463776756,0.7930640856318983,0.7930643115990549,0.7930645250222502,0.793064726602687,0.7930649170020518,0.7930650968447632,0.7930652667200903
