,Segment,Aging,N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0,CU,0,1425717,0.0024897735945885254,0.003868190700142381,0.005214856195729835,0.0065662444717793636,0.007926767184461248,0.009293237887912972,0.01066032985990374,0.012022309413690719,0.013373679673406965,0.014709429724724788,0.016025120981840803,0.017316900899687664,0.01858148302005923,0.01981611156472089,0.021018519562509896,0.0221868851087326,0.023319788152203185,0.02441616905197376,0.025475289522222704,0.02649669623858508,0.027480187185312983,0.02842578071323983,0.029333687217349004,0.03020428330960549,0.031038088346080357,0.031835743160586245,0.03259799085609784,0.03332565950778995,0.03401964663615907,0.03468090531452594,0.03531043178171142,0.035909254437497436,0.03647842410541671,0.03701900545432768,0.03753206947703249,0.038018686930830756,0.0384799226513312,0.03891683065703817,0.03933044996817659,0.03972180106889925,0.04009188294743312,0.04044167065385741,0.040772113320065105,0.04108413259104521,0.04137862142093325,0.04165644319132293,0.04191843111311109,0.042165387876678506,0.04239808551848811,0.042617265475228684,0.04282363879945037,0.04301788651324007,0.043200660078882916,0.043372581967659134,0.043534246309944985,0.043686219611635255,0.04382904152359153,0.04396322565235661,0.044089260401771996,0.04420760983640178,0.044318714558811145,0.044422992593782774,0.044520840273485525,0.0446126331184475,0.04469872670993566,0.044779457550016416,0.044855143906169764,0.04492608663786338,0.044992570002965276,0.04505486244229304,0.04511321734096555,0.04516787376554846,0.045219057176268534,0.04526698011381888,0.04531184286049356,0.04535383407557456,0.04539313140505438,0.04542990206591329,0.04546430340528566,0.04549648343494629,0.045526581341627806,0.04555472797374598,0.045581046305162194,0.04560565187665378,0.04562865321579472,0.04565015223597154,0.045670244615274594,0.045689020156013664,0.045706563125610174,0.04572295257961578,0.0457382626676019,0.045752562922655095,0.045765918535200685,0.04577839061186294,0.04579003642005227,0.04580090961895307,0.045811060477565106,0.045820536080431205,0.04582938052166311,0.045837635087855676,0.04584533843045659,0.04585252672813899,0.045859233839699774,0.045865491447986746,0.04587132919533491,0.045876774810971445,0.04588185423082848,0.0458865917101817,0.045891009929514025,0.04589513009398382,0.045898972026858664,0.04590255425725789,0.0459058941025299,0.04590900774557316,0.04591191030739444,0.04591461591518163,0.04591713776615473,0.045919488187443715,0.04592167869222888,0.04592372003236635,0.04592562224770916,0.04592739471232237,0.04592904617778031,0.04593058481372234,0.04593201824583437,0.04593335359141349,0.04593459749266398,0.04593575614786422,0.0459368353405365,0.04593784046674291,0.045938776560624575,0.04593964831829336,0.045940460120179244,0.04594121605193055,0.04594191992395783,0.04594257528970706,0.04594318546274287,0.04594375353271681,0.0459442823802922,0.04594477469109143,0.045945232968728746,0.04594565954698679,0.04594605660119199,0.04594642615884052,0.04594677010952257,0.04594709021419106,0.045947388113816705,0.04594766533746931,0.04594792330986286,0.04594816335839893,0.04594838671974135,0.045948594545953014,0.04594878791022271,0.045948967812209966,0.04594913518303184,0.04594929088991614,0.04594943574054251,0.045949570487092126,0.045949695830025374,0.04594981242160523,0.0459499208691836,0.04595002173826586,0.04595011555536884,0.04595020281068556,0.04595028396056982,0.045950359429852775,0.045950429614002246,0.04595049488113608,0.04595055557389819,0.04595061201120789,0.04595066448988972,0.04595071328619257,0.04595075865720522,0.04595080084217572,0.045950840063740166,0.045950876529068124,0.04595091043092941,0.04595094194868814,0.045950971249228555,0.04595099848781765
1,CU,1,178034,0.02062477023737918,0.03172398568531128,0.04235597215504354,0.052821124505019544,0.06315634575431586,0.07333983438756936,0.08333604355569421,0.0931093298054836,0.10262850304341047,0.11186815038436891,0.12080869518782876,0.1294359504364335,0.13774048941837763,0.14571697855408483,0.15336353796518562,0.16068115794749438,0.16767318116313884,0.1743448512739182,0.1807029243346951,0.18675533731096988,0.19251092742616566,0.19797919606699854,0.2031701113433626,0.20809394392557282,0.2127611313625556,0.21718216666254792,0.2213675074630314,0.2253275026146209,0.22907233344918973,0.23261196739549908,0.23595612194871632,0.23911423729753606,0.24209545616880376,0.24490860966934586,0.247562208092639,0.25006443581820914,0.25242314956803374,0.2546458794000655,0.25673983191728955,0.25871189525400756,0.2605686454715642,0.26231635405538745,0.2639609962556505,0.2655082600564884,0.26696355559469254,0.2683320248792028,0.26961855168834864,0.2708277715434273,0.2719640816754311,0.2730316509171006,0.2740344294654126,0.27497615847049517,0.27586037941610514,0.27669044326449305,0.27746951934491315,0.2782006039704354,0.27888652877222436,0.2795299687442029,0.2801334499941493,0.28069935719986155,0.2812299407711573,0.28172732372023196,0.2821935082443224,0.28263038202578084,0.2830397242555812,0.28342321138700904,0.28378242262684694,0.28411884517178754,0.2844338791981111,0.28472884261287174,0.28500497557495513,0.28526344479442606,0.2855053476185816,0.28573171591306484,0.2859435197463113,0.28614167088546455,0.2863270261117533,0.2865003903631417,0.28666251971187723,0.28681412418435487,0.2869558704304998,0.2870883842496523,0.2872122529797063,0.28732802775602684,0.2874362256464368,0.2875373316683342,0.28763180069376604,0.2877200592480619,0.2878025072074005,0.2878795194004636,0.2879514471191114,0.28801861954280716,0.28808134508130195,0.2881399126399016,0.28819459281142795,0.2882456389988113,0.28829328847205377,0.2883377633631371,0.2883792716022685,0.2884180077987002,0.28845415406919217,0.2884878808170428,0.28851934746445784,0.2885487031408935,0.2885760873298702,0.2886016304766266,0.2886254545588603,0.2886476736226813,0.28866839428579233,0.2886877162098066,0.2887057325435014,0.28872253033871814,0.2887381909405205,0.2887527903531349,0.2887663995831131,0.2887790849610766,0.28879090844332667,0.28880192789453063,0.2888121973526273,0.2888217672770282,0.2888306847811305,0.28883899385009815,0.2888467355448137,0.28885394819284904,0.2888606675672539,0.28886692705391714,0.28887275780820576,0.2888781889015493,0.28888324745859756,0.2888879587855367,0.2888923464901221,0.28889643259394515,0.28890023763742434,0.2889037807779796,0.28890707988182146,0.2889101516097588,0.28891301149740883,0.28891567403016083,0.2889181527132339,0.2889204601371386,0.28892260803884046,0.28892460735889836,0.28892646829484003,0.2889282003510159,0.2889298123851579,0.2889313126518593,0.2889327088431733,0.28893400812651765,0.28893521718006254,0.2889363422257633,0.2889373890601938,0.2889383630833241,0.28893926932537556,0.28894011247188317,0.28894089688707747,0.2889416266357028,0.2889423055033703,0.28894293701554513,0.28894352445525684,0.28894407087961776,0.28894457913523,0.2889450518725511,0.2889454915592924,0.2889459004929104,0.2889462808122542,0.28894663450842417,0.28894696343489396,0.2889472693169481,0.28894755376047554,0.28894781826017,0.2889480642071687,0.28894829289617285,0.28894850553208346,0.2889487032361843,0.2889488870519022,0.28894905795017506,0.2889492168344524,0.28894936454535414,0.2889495018650102,0.2889496295211033
2,CU,2,73212,0.05622765355610766,0.08482706634892719,0.11121195214773191,0.13626894203627474,0.16017086472412476,0.18294255186684988,0.20457953702972062,0.22508037705755055,0.2444549334301271,0.26272492367628014,0.27992201316097604,0.296085341200896,0.3112591759542311,0.32549092707466853,0.33882955807987253,0.35132436742687356,0.3630240830544738,0.37397621178416873,0.38422659005567145,0.3938190903845131,0.4027954461542801,0.4111951648466713,0.4190555062126842,0.42641150716074655,0.4332960393818825,0.4397398890949137,0.4457718509287371,0.45141883000346994,0.4567059478478412,0.46165664899629355,0.4662928060267483,0.47063482149340935,0.474701725729409,0.4785112698815205,0.4820800138247603,0.48542340881265794,0.48855587486800084,0.49149087302333594,0.4942409725915422,0.4968179136928154,0.4992326652919539,0.5014954790138222,0.5036159390090441,0.5056030081392142,0.5074650707433095,0.5092099722361905,0.5108450557772324,0.512377196233177,0.5138128316448092,0.5151579923925671,0.5164183282419695,0.5175991334360275,0.5187053699887497,0.5197416893215246,0.52071245237262,0.5216217482993016,0.522473411882117,0.5232710397317084,0.5240180053900699,0.5247174734104164,0.5253724124927309,0.5259856077455756,0.5265596721388254,0.5270970572065965,0.5276000630547077,0.5280708477225499,0.5285114359451518,0.5289237273575282,0.5293095041800141,0.5296704384202217,0.530008098624457,0.5303239562088832,0.5306193913984043,0.5308956987991126,0.5311540926282277,0.5313957116236773,0.5316216236538679,0.531832830046711,0.5320302696556249,0.5322148226789902,0.5323873142484021,0.5325485178000142,0.5326991582423128,0.532839914932765,0.5329714244749775,0.53309428334724,0.5332090503726287,0.5333162490402045,0.5334163696862323,0.5335098715437987,0.5335971846686792,0.533678711748833,0.5337548298044451,0.5338258917850272,0.5338922280696816,0.5339541478762881,0.534011940585012,0.5340658769812205,0.5341162104225962,0.534163177934947,0.5342070012409562,0.53424788772586,0.5342860313438134,0.5343216134684825,0.5343548036911921,0.5343857605697723,0.5344146323310529,0.5344415575297936,0.534466665666666,0.5344900777677604,0.5345119069279346,0.5345322588201975,0.5345512321731853,0.534568919218669,0.5345854061109179,0.5346007733196387,0.5346150959981046,0.5346284443279954,0.5346408838423814,0.5346524757281961,0.5346632771094625,0.5346733413124645,0.5346827181139847,0.5346914539736576,0.5346995922514287,0.5347071734110505,0.5347142352104876,0.5347208128800501,0.534726939289031,0.5347326451015639,0.5347379589223893,0.5347429074331616,0.5347475155198987,0.5347518063921363,0.5347558016943128,0.5347595216098834,0.5347629849586242,0.5347662092875639,0.5347692109559521,0.5347720052146453,0.5347746062802714,0.5347770274045086,0.5347792809387946,0.5347813783947616,0.534783330500673,0.5347851472541229,0.5347868379712415,0.5347884113326317,0.5347898754262526,0.5347912377874482,0.5347925054363079,0.5347936849125352,0.5347947823079846,0.5347958032970263,0.5347967531648732,0.5347976368340123,0.5347984588888616,0.5347992235987697,0.53479993493947,0.5348005966130893,0.5348012120668101,0.5348017845102709,0.534802316931795,0.5348028121135204,0.5348032726455058,0.5348037009388832,0.5348040992381171,0.5348044696324348,0.5348048140664754,0.5348051343502219,0.5348054321682524,0.5348057090883632,0.5348059665696053,0.534806205969772,0.5348064285523751,0.5348066354931456,0.5348068278860894,0.534807006749129,0.5348071730293589,0.5348073276079414
3,CU,3,14363,0.2729844125245226,0.36875646240881677,0.4409079842294223,0.4985780208850183,0.5458671250872726,0.5852603546221239,0.6184628828838874,0.6467174485479561,0.6709609726398192,0.6919154636570422,0.7101462776828875,0.72610178931978,0.7401414660678577,0.7525562619916799,0.7635837171364764,0.7734193050312631,0.7822250665229105,0.7901362494267444,0.7972664634496903,0.803711717239245,0.8095536053804601,0.8148618431661491,0.8196962967735836,0.8241086200493574,0.8281435823774812,0.8318401523109826,0.8352323868582956,0.8383501651772526,0.8412197969769732,0.8438645294679952,0.8463049717305998,0.8485594515224614,0.8506443165482025,0.8525741898637009,0.8543621872363765,0.8560201028158039,0.8575585683009238,0.8589871898554162,0.8603146662712833,0.8615488912737106,0.8626970423678821,0.8637656582273109,0.8647607062951417,0.8656876420004687,0.8665514607696374,0.867356743828794,0.8681076986414294,0.8688081946976361,0.8694617952656275,0.8700717856270678,0.8706411982429291,0.8711728352334651,0.8716692885025261,0.8721329577911607,0.8725660669069705,0.8729706783428638,0.8733487064708295,0.8737019294723265,0.8740320001462757,0.8743404557178984,0.8746287267563579,0.8748981452959356,0.8751499522440482,0.8753853041494815,0.8756052793955955,0.8758108838757561,0.8760030562016947,0.876182672489789,0.8763505507652466,0.8765074550197973,0.8766540989546423,0.8767911494370311,0.8769192296958555,0.8770389222790218,0.8771507717930411,0.8772552874432253,0.8773529453910597,0.8774441909437042,0.8775294405891486,0.8776090838892652,0.8776834852418701,0.8777529855218839,0.8778179036107829,0.877878537822712,0.877935167234905,0.8779880529294083,0.8780374391525047,0.8780835543977146,0.8781266124177661,0.8781668131704958,0.8782043437032484,0.8782393789799902,0.8782720826550248,0.8783026077969107,0.8783310975659073,0.8783576858480336,0.8783824978486031,0.8784056506478872,0.8784272537213776,0.8784474094269435,0.8784662134610179,0.8784837552858075,0.8785001185293779,0.8785153813603497,0.8785296168388167,0.8785428932449987,0.878555274387039,0.8785668198892627,0.8785775854621316,0.8785876231550478,0.8785969815930869,0.8786057061986707,0.8786138393991275,0.878621420821027,0.8786284874721212,0.8786350739116672,0.8786412124098679,0.8786469330971101,0.8786522641036424,0.8786572316902989,0.8786618603708256,0.8786661730263455,0.8786701910124557,0.8786739342594201,0.878677421365898,0.8786806696866154,0.8786836954143628,0.8786865136566806,0.8786891385075694,0.8786915831145407,0.8786938597413064,0.8786959798263847,0.8786979540378811,0.878699792324695,0.8787015039643727,0.8787030976078308,0.8787045813211436,0.8787059626245874,0.8787072485291191,0.8787084455704514,0.8787095598408826,0.8787105970190263,0.8787115623975753,0.8787124609092295,0.8787132971509051,0.8787140754063393,0.8787147996671932,0.8787154736527524,0.8787161008283143,0.8787166844223535,0.8787172274425387,0.8787177326906819,0.8787182027766871,0.8787186401315666,0.878719047019583,0.8787194255495785,0.8787197776855431,0.8787201052564717,0.8787204099655593,0.878720693398775,0.8787209570328601,0.8787212022427842,0.8787214303087001,0.8787216424224262,0.8787218396934909,0.8787220231547695,0.878722193767735,0.8787223524273567,0.8787224999666629,0.8787226371609953,0.8787227647319737,0.8787228833511903,0.8787229936436518,0.8787230961909881,0.8787231915344408,0.8787232801776483,0.8787233625892396,0.8787234392052521,0.8787235104313819,0.878723576645082
4,HU,0,4232680,0.0015924073827428633,0.002488189091747327,0.0033648725113298527,0.004244133909250907,0.005128354295869644,0.0060155094466949255,0.006902403097123273,0.007785661335706323,0.008662086639084566,0.00952878610730493,0.01038320960403766,0.011223149399434874,0.012046723052906527,0.012852349366035366,0.013638722060534224,0.01440478343554643,0.01514969908935826,0.015872834200766073,0.01657373156115096,0.017252091390207,0.017907752887001298,0.01854067742800399,0.019150933306059312,0.01973868189875601,0.020304165155665986,0.020847694298309974,0.021369639632720223,0.021870421381118978,0.02235050144597679,0.02281037602626988,0.02325056901197231,0.02367162608864428,0.02407410948938442,0.024458593336420868,0.024825659519236976,0.02517589406039169,0.02550988392412933,0.025828214226503953,0.026131465809096886,0.026420213141503817,0.026695022520630822,0.026956450537487266,0.027205042784611527,0.027441332779531067,0.027665841081753285,0.02787907458272046,0.02808152594995271,0.02827367320825724,0.028455979442409345,0.028628892607120614,0.028792845431408427,0.02894825540567902,0.029095524840937446,0.02923504099055135,0.029367176225926425,0.029492288258304904,0.02961072039968188,0.029722801856550747,0.02982884805084464,0.029929160963039467,0.030024029492930305,0.030113729834090993,0.03019852585847887,0.030278669508058995,0.030354401190694883,0.030425950177891452,0.030493535002282177,0.03055736385302838,0.030617634967548695,0.030674537018220642,0.030728249492898416,0.030778943068271693,0.030826779975252447,0.030871914355721265,0.030914492610093745,0.03095465373528191,0.030992529652727342,0.031028245526272417,0.03106192006971499,0.031093665843961366,0.031123589543752876,0.031151792273994255,0.03117836981575752,0.031203412882074243,0.031227007363662827,0.031249234564765537,0.031270171429293704,0.03128989075749954,0.03130846141340876,0.031325948523260656,0.031342413665212975,0.03135791505057528,0.03137250769684043,0.03138624359278637,0.031399171855921885,0.03141133888255053,0.0314227884907244,0.031433562056358104,0.031443698642768886,0.03145323512390531,0.03146220630152143,0.03147064501654807,0.03147858225490701,0.03148604724800714,0.03149306756815528,0.03149966921910751,0.03150587672197957,0.031511713196728006,0.03151720043940632,0.03152235899539357,0.03152720822878506,0.03153176638812824,0.031536050668679566,0.031540077271351115,0.03154386145850913,0.03154741760677976,0.03155075925701089,0.031553899161532444,0.03155684932885175,0.03155962106591369,0.03156222501805055,0.03156467120674033,0.031566969065286464,0.031569127472527415,0.031571154784679145,0.03157305886540819,0.031574847114229226,0.031576526493315764,0.031578103552808476,0.03157958445470178,0.031580974995384946,0.03158228062691034,0.03158350647705778,0.031584657368260494,0.031585737835454715,0.03158675214291193,0.0315877043001097,0.03158859807669402,0.03158943701658329,0.03159022445126187,0.03159096351230797,0.03159165714319879,0.031592308110433225,0.03159291901401048,0.03159349229730082,0.03159403025634271,0.03159453504859885,0.03159500870120147,0.03159545311871642,0.0315958700904529,0.03159626129734505,0.03159662831842992,0.03159697263694467,0.03159729564606511,0.03159759865430614,0.03159788289060352,0.03159814950909545,0.031598399593621145,0.031598634161953194,0.03159885416977864,0.031599060514443784,0.03159925403847639,0.03159943553289808,0.03159960574033948,0.03159976535796942,0.03159991504024926,0.03160005540152239,0.03160018701844883,0.031600310432293985,0.031600426151080004,0.03160053465160797,0.031600636381358675,0.03160073176027886,0.03160082118246001,0.03160090501771596,0.03160098361306519,0.03160105729412379,0.03160112636641403,0.03160119111659395,0.03160125181361235
5,HU,1,423105,0.014987278189254365,0.023242702397918626,0.03120324221748103,0.03907165698165158,0.046870285453243975,0.054582219620897515,0.06218158195174007,0.06964252113144377,0.07694215513078125,0.08406141506365389,0.09098508340049968,0.09770151617210858,0.10420225268968723,0.1104816020013207,0.11653624564780968,0.12236487339413998,0.1279678576680384,0.1333469671367765,0.138505117340051,0.1434461552012947,0.14817467387642685,0.15269585441206737,0.15701533088512162,0.16113907597979737,0.16507330427074632,0.16882439079213268,0.172398802766518,0.1758030426372049,0.17904360079043083,0.18212691656948454,0.1850593463727104,0.18784713779354478,0.1904964089053947,0.1930131319197303,0.19540312055440934,0.19767202054308997,0.19982530279750654,0.20186825880407,0.20380599789622525,0.20564344609556048,0.20738534625897753,0.20903625930730507,0.21060056634342675,0.21208247149607232,0.2134860053495199,0.21481502884014328,0.21607323751849777,0.21726416609087576,0.21839119316734432,0.21945754615450175,0.2204663062408172,0.22142041343068658,0.22232267159042024,0.22317575347545887,0.22398220571332733,0.22474445372129798,0.2254648065415646,0.22614546157999962,0.22678850923737023,0.22739593742428005,0.22796963595314618,0.22851140080226406,0.22902293824848682,0.22950586886631066,0.2299617313922145,0.23039198645400305,0.2307980201656577,0.23118114758882877,0.23154261606262902,0.23188360840382244,0.23220524597985612,0.23250859165747192,0.23279465262986057,0.23306438312550373,0.2333186870019812,0.2335584202281215,0.2337843932579409,0.23399737329985568,0.23419808648466922,0.2343872199358339,0.23456542374546788,0.23473331285957325,0.2348914688758586,0.23504044175751307,0.23518075146621534,0.23531288951759513,0.23543732046228405,0.23555448329562018,0.2356647927989832,0.23576864081565513,0.23586639746401367,0.2359584122907793,0.2360450153669476,0.23612651832895043,0.23620321536750247,0.23627538416650334,0.23634328679427574,0.23640717054933993,0.23646726876283727,0.2365238015596365,0.23657697658007423,0.23662698966420415,0.23667402550035246,0.23671825823970213,0.2367598520785577,0.23679896180987134,0.23683573334554237,0.23687030421093794,0.2369028040130169,0.23693335488338066,0.23696207189751045,0.236989063471399,0.2370144317367242,0.23703827289566254,0.2370606775563879,0.23708173105025224,0.23710151373159677,0.23712010126109903,0.23713756487351564,0.23715397163063973,0.23716938466025214,0.23718386338180894,0.23719746371956715,0.23721023830381952,0.2372222366608754,0.23723350539238985,0.23724408834461572,0.23725402676812432,0.23726335946850904,0.23727212294856445,0.2372803515424056,0.23728807754196699,0.23729533131630204,0.23730214142407724,0.23730853471963667,0.2373145364529945,0.23732017036409028,0.23732545877162767,0.23733042265679793,0.23733508174217433,0.2373394545660487,0.23734355855246542,0.23734741007719523,0.23735102452987913,0.23735441637255672,0.237357599194787,0.23736058576555225,0.2373633880821297,0.23736601741610414,0.23736848435668387,0.23737079885147472,0.23737297024485887,0.2373750073141151,0.2373769183034101,0.23737871095578583,0.23738039254325596,0.2373819698951234,0.23738344942461906,0.23738483715396344,0.23738613873793826,0.2373873594860587,0.2373885043834255,0.23738957811033495,0.23739058506071978,0.23739152935948882,0.23739241487883053,0.23739324525354075,0.23739402389543268,0.23739475400688317,0.23739543859356574,0.2373960804764186,0.23739668230289357,0.2373972465575275,0.23739777557187655,0.23739827153385282,0.2373987364964954,0.23739917238621364,0.2373995810105304,0.23739996406535782,0.2374003231418318
6,HU,2,164827,0.04770615142241556,0.0726547298698291,0.09587751914198296,0.11806708764698351,0.13934659332045546,0.15972452001742576,0.17918808744832007,0.19772820728648705,0.21534572263082408,0.2320517185660229,0.24786596777666614,0.2628149514339277,0.27692997862243846,0.29024557676630774,0.3027981859111908,0.3146251353876355,0.32576386306828176,0.3362513344651791,0.34612362219932813,0.3554156118202675,0.36416080573087845,0.3723912023086908,0.3801372319336765,0.3874277354878624,0.3942899740387486,0.40074966094855313,0.40683100966417524,0.41255679203158196,0.41794840322463034,0.423025930350897,0.42780822255243167,0.43231296100344296,0.43655672765640646,0.4405550719323474,0.44432257481313747,0.44787290999187773,0.45121890188610386,0.45437258042888123,0.4573452326336509,0.460147450986767,0.4627891787623871,0.46527975238188235,0.4676279409574441,0.4698419831695827,0.47192962163266555,0.4738981349030171,0.47575436728154324,0.47750475655822805,0.47915535983984237,0.4807118775953128,0.4821796760457917,0.4835638080188493,0.4848690323785552,0.4860998321356996,0.4872604313351256,0.4883548108101547,0.4893867228874648,0.49035970511952137,0.49127709311579265,0.4921420325385019,0.49295749032356556,0.4937262651826407,0.49445099743782056,0.4951341782364819,0.4957781581900572,0.4963851554770738,0.49695726344765717,0.49749645776378576,0.4980046031069378,0.49848345948232475,0.49893468814666925,0.4993598571844378,0.4997604467555538,0.5001378540358971,0.5004933978703126,0.5008283231564025,0.5011438049760497,0.5014409524903967,0.5017208126128849,0.5019843734739383,0.5022325676899151,0.5024662754481004,0.5026863274186968,0.5028935075040439,0.503088555434613,0.5032721692207001,0.5034450074681585,0.5036076915659822,0.5037608077530527,0.5039049090709045,0.5040405172089442,0.5041681242481569,0.5042881943089763,0.504401165108646,0.5045074494330892,0.5046074365280087,0.5047014934136564,0.5047899661274688,0.504873180898507,0.5049514452574324,0.5050250490855271,0.5050942656060753,0.5051593523212394,0.5052205518973854,0.5052780930016528,0.5053321910924148,0.5053830491661176,0.5054308584628698,0.5054757991330067,0.5055180408667488,0.5055577434889491,0.505595057520824,0.5056301247104549,0.5056630785337578,0.5056940446675228,0.5057231414360419,0.5057504802327633,0.5057761659183305,0.5058002971962985,0.5058229669677404,0.5058442626659045,0.505864266572012,0.5058830561132293,0.5059007041437957,0.5059172792102344,0.5059328458015201,0.5059474645850378,0.5059611926291188,0.5059740836128929,0.505986188024166,0.5059975533459865,0.5060082242325302,0.5060182426749004,0.5060276481574062,0.5060364778048535,0.5060447665213509,0.5060525471211085,0.5060598504516809,0.5060667055100783,0.506073139552151,0.5060791781956268,0.5060848455171605,0.5060901641437373,0.5060951553387494,0.5060998390830501,0.5061042341512729,0.506108358183685,0.506112227753831,0.5061158584322089,0.506119264846207,0.5061224607365147,0.5061254590102126,0.506128271790732,0.5061309104648669,0.5061333857270047,0.506135707620744,0.5061378855780437,0.5061399284560525,0.5061418445717504,0.5061436417345323,0.5061453272768527,0.5061469080830441,0.5061483906164177,0.5061497809447468,0.5061510847642264,0.5061523074220005,0.5061534539373397,0.5061545290215512,0.5061555370966921,0.506156482313161,0.5061573685662305,0.5061581995115871,0.5061589785799329,0.5061597089907087,0.5061603937649899,0.5061610357376015,0.5061616375685035,0.5061622017534856,0.5061627306342154,0.5061632264076787
7,HU,3,30127,0.24229863383563,0.3333854856762571,0.4036695540123181,0.46078867541192264,0.5082411010255232,0.5482037572763377,0.5822062783666885,0.6113857538931218,0.6366136811696187,0.658571057682883,0.6777975487407721,0.6947256613668802,0.7097053789070862,0.7230223490053705,0.7349115433509796,0.7455676532801345,0.7551530884325899,0.7638041900622222,0.7716360990062618,0.7787465997130535,0.785219177994829,0.7911254700950695,0.79652723699432,0.8014779657934694,0.8060241762130269,0.8102064924402894,0.8140605271291153,0.8176176141579196,0.8209054189508559,0.8239484491619083,0.8267684838696485,0.8293849358053645,0.8318151582962284,0.8340747063664505,0.8361775596659595,0.8381363134842232,0.8399623429772536,0.8416659448278904,0.8432564598263842,0.8447423792638139,0.8461314375467779,0.8474306930459824,0.8486465988664575,0.8497850649594464,0.8508515127746613,0.8518509234679184,0.8527878805262135,0.8536666075445415,0.8544910017816836,0.8552646640321856,0.8559909252758595,0.8566728705019835,0.8573133600509718,0.85791504877003,0.8584804032398977,0.8590117172960848,0.8595111260391547,0.8599806185038318,0.860422049135382,0.8608371482033326,0.8612275312666947,0.8615947077910919,0.8619400890062402,0.8622649950818462,0.8625706616909335,0.8628582460217082,0.8631288322921703,0.8633834368156273,0.8636230126599637,0.8638484539388522,0.8640605997689976,0.8642602379238788,0.8644481082112719,0.8646249055990075,0.8647912831109257,0.8649478545127687,0.8650951968057962,0.8652338525441524,0.8653643319904669,0.8654871151227778,0.8656026535046399,0.8657113720291638,0.8658136705467563,0.8659099253854362,0.8660004907718162,0.8660857001601195,0.8661658674759702,0.8662412882811044,0.866312240864648,0.8663789872661222,0.8664417742349224,0.8665008341306318,0.8665563857681786,0.866608635211541,0.8666577765194052,0.8667039924459341,0.8667474550995546,0.8667883265624702,0.866826759473392,0.8668628975758181,0.8668968762340087,0.8669288229186678,0.8669588576641977,0.8669870934992591,0.8670136368522648,0.8670385879333159,0.8670620410939939,0.8670840851663316,0.8671048037821965,0.8671242756742448,0.867142574959529,0.8671597714067761,0.8671759306882878,0.8671911146173573,0.8672053813720434,0.8672187857060882,0.8672313791477236,0.8672432101870583,0.8672543244527058,0.8672647648782673,0.8672745718592514,0.8672837834009766,0.8672924352579722,0.8673005610653619,0.8673081924626889,0.8673153592106094,0.8673220893008666,0.8673284090599218,0.8673343432466077,0.8673399151441437,0.8673451466468324,0.8673500583417433,0.8673546695856659,0.8673589985776066,0.8673630624270767,0.86736687721842,0.8673704580713993,0.8673738191982596,0.8673769739574679,0.8673799349043197,0.8673827138385944,0.8673853218494241,0.8673877693575401,0.8673900661550469,0.8673922214428631,0.8673942438659676,0.8673961415465752,0.867397922115361,0.8673995927408484,0.8674011601570641,0.8674026306895637,0.8674040102799181,0.8674053045087555,0.8674065186174379,0.8674076575284541,0.8674087258646043,0.8674097279670455,0.8674106679122646,0.8674115495280419,0.8674123764084657,0.8674131519280492,0.8674138792550096,0.8674145613637485,0.8674152010465932,0.8674158009248297,0.8674163634590781,0.867416890959046,0.867417385592695,0.8674178493948594,0.8674182842753447,0.86741869202654,0.8674190743305715,0.8674194327660257,0.8674197688142665,0.8674200838653713,0.867420379223708,0.8674206561131755,0.8674209156821269,0.8674211590079932,0.8674213871016293
