Segment,Date,NPLRatio,Amount,SegmentName
2.  Foreign Banks (full branch),2008-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2008-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2008-06-30,0.0029,1984.0,ForeignBanks
2.  Foreign Banks (full branch),2008-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2008-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2008-09-30,0.003,1953.0,ForeignBanks
2.  Foreign Banks (full branch),2008-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2008-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2008-12-31,0.0038,2646.0,ForeignBanks
2.  Foreign Banks (full branch),2009-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2009-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2009-03-31,0.0034000000000000002,2340.0,ForeignBanks
2.  Foreign Banks (full branch),2009-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2009-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2009-06-30,0.0045000000000000005,3131.0,ForeignBanks
2.  Foreign Banks (full branch),2009-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2009-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2009-09-30,0.0038,2840.0,ForeignBanks
2.  Foreign Banks (full branch),2009-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2009-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2009-12-31,0.0026,2150.0,ForeignBanks
2.  Foreign Banks (full branch),2010-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2010-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2010-03-31,0.0024,2190.0,ForeignBanks
2.  Foreign Banks (full branch),2010-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2010-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2010-06-30,0.0022,1874.0,ForeignBanks
2.  Foreign Banks (full branch),2010-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2010-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2010-09-30,0.0019,1643.0,ForeignBanks
2.  Foreign Banks (full branch),2010-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2010-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2010-12-31,0.0017000000000000001,1619.0,ForeignBanks
2.  Foreign Banks (full branch),2011-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2011-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2011-03-31,0.0012,1288.0,ForeignBanks
2.  Foreign Banks (full branch),2011-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2011-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2011-06-30,0.001,1190.0,ForeignBanks
2.  Foreign Banks (full branch),2011-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2011-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2011-09-30,0.001,1196.0,ForeignBanks
2.  Foreign Banks (full branch),2011-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2011-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2011-12-31,0.0018,1877.0,ForeignBanks
2.  Foreign Banks (full branch),2012-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2012-02-29,,,ForeignBanks
2.  Foreign Banks (full branch),2012-03-31,0.0016,1818.0,ForeignBanks
2.  Foreign Banks (full branch),2012-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2012-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2012-06-30,0.0015,1746.0,ForeignBanks
2.  Foreign Banks (full branch),2012-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2012-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2012-09-30,0.0015,1511.0,ForeignBanks
2.  Foreign Banks (full branch),2012-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2012-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2012-12-31,0.0011,1280.0,ForeignBanks
2.  Foreign Banks (full branch),2013-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2013-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2013-03-31,0.001,1231.0,ForeignBanks
2.  Foreign Banks (full branch),2013-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2013-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2013-06-30,0.001,1252.0,ForeignBanks
2.  Foreign Banks (full branch),2013-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2013-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2013-09-30,0.0009,983.0,ForeignBanks
2.  Foreign Banks (full branch),2013-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2013-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2013-12-31,0.0011,1237.0,ForeignBanks
2.  Foreign Banks (full branch),2014-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2014-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2014-03-31,0.001,1167.0,ForeignBanks
2.  Foreign Banks (full branch),2014-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2014-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2014-06-30,0.001,1180.0,ForeignBanks
2.  Foreign Banks (full branch),2014-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2014-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2014-09-30,0.0009,1032.0,ForeignBanks
2.  Foreign Banks (full branch),2014-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2014-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2014-12-31,0.0009,944.0,ForeignBanks
2.  Foreign Banks (full branch),2015-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2015-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2015-03-31,0.0012,969.0,ForeignBanks
2.  Foreign Banks (full branch),2015-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2015-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2015-06-30,0.0012,1010.0,ForeignBanks
2.  Foreign Banks (full branch),2015-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2015-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2015-09-30,0.0013,1004.0,ForeignBanks
2.  Foreign Banks (full branch),2015-10-31,,,ForeignBanks
