Year,N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2015,2736608779,0,915419.17,915419.17,915419.17,5775466.75,5801847.42,6052504.23,6092271.37,4623282.45,2844988.99,7855311.14,7904943.74,6965059.41,10313649.52,13588603.99,15625144.69,13761674.92,8078592.2,3507390.15,1765401.1,1783587.78,1783587.78,7100986.34,2520883.13
2016,21011216385,13595979.38,21897185.35,25579915.66,41624180.17,50114476.42,36693720.23,33681828.79,28346788.31,28477376.32,32651847.73,35523551.19,,,,,,,,,,,,,
