Segment,Aging,Year,N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
CU,0,2014,218263,3.2071400099879495e-05,0.0001328672289852151,0.00035278540109867456,0.0018738860915501023,0.0034682928393726838,0.005200148444766177,0.007064871279144885,0.009053298085337414,0.01120208189202934,0.013511222699220666,0.0158020369920692,0.018115759427846226,0.02055318583543706,0.022912724557071055,0.0253455693360762,0.0276913631719531,0.030027993750658608,0.03229131827199296,0.034618785593527074,0.036964579429403975,0.039278301865181,0.041440830557630016,0.04351630830695079,0.04556429628475738,0.0475618863481213,0.0494540989540142,0.05125009735960745,0.05293613667914397,0.0544572373695954,0.0560104094601467,0.0575773264364551,0.05904802921246386,0.06049582384554414,0.06188405730701035,0.06327687239706226,0.06466052422994277,0.06597087000545214,0.0672674708952044,0.06844036781314286,0.06954454030229586,0.0705616618483206,0.0714871508226314,0.0722980990822998,0.07304032291318271,0.07377796511547995,0.07446520940333451,0.07507456600523223,0.07568392260712993,0.07622455478024219,0.07675144206759735,0.07720960492616706,0.07765860452756537,0.07811676738613507,0.07856576698753337,0.07900560333176031,0.07940420501871595,0.07977531693415743,0.08011893907808469,0.0804304898219121,0.08065957125119695
CU,0,2015,255698,2.3465181581396806e-05,6.257381755039148e-05,0.00019945404344187285,0.001623008392713279,0.003277303694201753,0.005142785629922799,0.0070395544744190405,0.00910840131717886,0.01116551556914798,0.01337515350139618,0.015588702297241274,0.017864824910636762,0.02004708679770667,0.022311476820311458,0.024568045115722453,0.026816791683939648,0.02903425134338165,0.03125171100282365,0.03341050770831215,0.035557571823009955,0.037626418665769774,0.0396483351453668,0.04175237976049871,0.04375865278570814,0.04566715422099508,0.04752090356592543,0.04927688132093329,0.05107196771191015,0.05282012373972421,0.054380558314887084,0.0558080235277554,0.05716509319587953,0.05841265868329045,0.0595272548084068,0.06057536625237585,0.061623477696344915,0.06262856964074807,0.06359064208558532,0.0645605362576164,0.06549132179367848,0.06636735523938396,0.06722383436710494,0.06800991795008174,0.06878426894226783,0.06953906561646943,0.07025084279110512,0.07091568960257805,0.07143583446096567,0.07194612131043561,0.07244343476542751,0.07287588124802917,0.07329967880097878,0.07373212528358043,0.07415592283653004,0.07457107145982762,0.07494729989969107,0.07529758155059842,0.07562191641254963,0.07591598002071875,0.07613220326201957
CU,0,2016,299541,3.67228526311924e-05,8.012258755896522e-05,0.00048407396650208156,0.0018194504258181683,0.0034786556765184066,0.005288090778891704,0.007174310027675677,0.00905719083531136,0.011043563318544041,0.013130089036225423,0.015253337606538003,0.017403293706036903,0.019599987981611867,0.021696529022738126,0.023756347211233188,0.025852888252359443,0.027865968264778444,0.029815617895379933,0.031701837144163914,0.033411119012088486,0.035103708674271636,0.03670949886659923,0.038195105177588375,0.03963731175364975,0.04110622585889745,0.042565124640700266,0.04403403874594797,0.04546622999856447,0.04686837528084637,0.048143659799493234,0.04930209887794993,0.050480568603296375,0.05158225418223215,0.052653893790833316,0.0536787952233584,0.054560143686507016,0.055551980245655774,0.05651824459149313,0.05743884427070304,0.05831377928328546,0.05912843693591962,0.0598974299219263,0.06058787968133372,0.06124545088076937,0.061892062560214414,0.062498489333027284,0.06305194509255227,0.0635378171454686,0.06399168617041959,0.06443401615236335,0.06481865091927097,0.06519559299084042,0.06558022775774804,0.06595716982931749,0.06632641920554881,0.06666105145275844,0.06697260561395363,0.06726108168913432,0.06752263333063149,0.0677149507140853
CU,0,2017,325631,4.91353710181156e-05,0.00012590938823392122,0.0006940371156308827,0.002023763093808636,0.003534675752615691,0.0052390589348065755,0.007007932291458737,0.008868934468769865,0.010760646252967316,0.012587867862703491,0.01432910257315796,0.016131756497385078,0.017894487932659974,0.019666432250000768,0.021438376567341558,0.023124333985400654,0.024807220442771116,0.026468610175321147,0.028025587244457684,0.029573351431528325,0.031161038107551182,0.032705731333933195,0.03415215381827897,0.03541124770061818,0.036874602197047524,0.03829504307188069,0.03966935180349798,0.041016839521617665,0.042303175328962814,0.04350475673365553,0.04463553066271456,0.04573090085395676,0.04676619197496432,0.04774140402573725,0.048684430860313044,0.04957917987059315,0.050480468610791744,0.05135851970391338,0.05219507499868336,0.05299013449510164,0.0537304195376957,0.054429208781938083,0.05505662525301556,0.055654164749279825,0.056241745253939684,0.05679280945605006,0.057295738532072475,0.057737253826534406,0.05814968774817198,0.058551636061632335,0.058901156334206554,0.059243686201329276,0.059593206473903496,0.05993573634102622,0.06027127580269747,0.060575358439837045,0.060858469860622176,0.06112061006505282,0.06135828385040329,0.06153304398669039
CU,0,2018,326584,4.2867991083457864e-05,0.00010104597898243637,0.0005450358866325355,0.0019902995860176863,0.003646841241457022,0.005447296866962253,0.007287558484187834,0.009207432084854129,0.01121304166768733,0.013319697229502976,0.015423290791955516,0.017456458369056658,0.019591169572603612,0.021704735919267887,0.023821060290742945,0.025902449681281407,0.027950742774090456,0.029960423519548533,0.03192045981841249,0.03382993232907873,0.03572193734927668,0.03753579833316908,0.03928898277122422,0.040945636340901925,0.04263769705435635,0.04428013721902912,0.045869235293761614,0.04742732052550557,0.04891469647523568,0.05030407184112201,0.05161157330151861,0.05287813780917035,0.05407523354852777,0.05520286051959088,0.05629327207906774,0.05732786052116523,0.05837001078105786,0.05938529160515213,0.06035259129389226,0.061271909847278205,0.062127893301996646,0.06293589562136091,0.063661370387916,0.06435229873701609,0.06503171161363118,0.06566890109113459,0.06625043245162715,0.06676095173179555,0.06723784454034037,0.06770261295544762,0.06810675940336697,0.06850282292232791,0.06890696937024726,0.06930303288920821,0.06969101347921078,0.0700426208889006,0.0703699795117153,0.07067308934765479,0.07094790893223994,0.07114998215619961
CU,1,2014,35773,0.0005031727839431972,0.002180415397087189,0.017946495960640706,0.02854107846700025,0.039079752886255,0.04942274900064295,0.0591787102004305,0.06882285522600844,0.0782154138596148,0.08665753501243954,0.0947642076426355,0.10264724792441228,0.10957985072540743,0.1167640399183742,0.12296983758700696,0.12934335951695414,0.1353534788807201,0.14119587398317165,0.14698236099851844,0.1526011237525508,0.1573533111564588,0.16241299303944315,0.16708131831269393,0.17147010315042072,0.17560730159617588,0.17907360299667344,0.18206468565678025,0.18497190618622986,0.18818662119475585,0.19120565789841498,0.19372152181813102,0.19626533978139934,0.19847370922203894,0.20068207866267854,0.20272272384200374,0.20462359880356693,0.2065244737651301,0.20839739468314086,0.2101864534704945,0.2115562016045621,0.2130377659128393,0.2144354680904593,0.21574930813742207,0.21695133201017527,0.21798563162161408,0.2188522069717385,0.21955105806054845,0.22022195510580608,0.22106057641237808,0.22173147345763566,0.22254214072065526,0.22326894585301765,0.22385598076761806,0.22444301568221844,0.22494618846616166,0.22544936125010484,0.2259245799904956,0.2263997987308864,0.2266793391664104,0.22698683364548686
CU,1,2015,32211,9.313588525658936e-05,0.0008071776722237744,0.021328117723758963,0.03706808233212257,0.05184564279283475,0.06541243674521126,0.07938281953369966,0.09294961348607618,0.10564713917605786,0.11688553599701965,0.1277513892769551,0.1374685666387259,0.14743410636118096,0.1561267889851293,0.16429170159262366,0.1718667535934929,0.17913135264350688,0.1856198193163826,0.19164260656297535,0.19723075967837075,0.2024153239576542,0.20822079413864827,0.21365372077861602,0.21858992269721525,0.2237744869764987,0.2283691906491571,0.23243612430536156,0.2356337896991711,0.23830368507652666,0.24112880692930985,0.2438607928968365,0.2458787370773959,0.2481139983235541,0.25019403309428456,0.25224302256992953,0.2540126043898047,0.25559591443916674,0.25727236037378537,0.25901089689857504,0.2605631616528515,0.2618981093415293,0.26320201173512153,0.26475427648939803,0.2659650429977337,0.2670516283257272,0.2680450777684642,0.268852255440688,0.2695662972276551,0.2705928253968389,0.2714140479321859,0.2724063584957302,0.2732960162423561,0.27401458596078476,0.27473315567921336,0.2753490725807236,0.27596498948223386,0.27654668877810457,0.2771283880739754,0.27747056413037,0.27784695779240415
CU,1,2016,33858,0.000118140469017662,0.007265638844586212,0.027290448343079917,0.04356429795026286,0.0569732411837675,0.06952566601689407,0.08163506409120444,0.09389213775178687,0.10511548230846476,0.11589580010632645,0.1269123988422234,0.13692480359147025,0.1457558036505405,0.15458680370961073,0.16306338236162798,0.17047669679248625,0.17747651958178273,0.18338354303266585,0.18890660995924155,0.1941933959477819,0.19945064681906788,0.204294406048792,0.20896095457498967,0.21365703821844173,0.21773288439955107,0.221424774056353,0.22470317207159315,0.2278043593833068,0.2307283359914939,0.2337704530686987,0.23675349991139466,0.2394707306988009,0.2426014531277689,0.24502333274263102,0.2475042825920019,0.2494240652135389,0.25133875130310224,0.2532856169908095,0.2552163928794448,0.25680928298756894,0.2583539036984772,0.25983416521309766,0.2613948757230779,0.26271423924697873,0.2638727047801599,0.2648863621216935,0.2657069418743635,0.2664631624307457,0.2674778736357371,0.26828964259973026,0.26927053009788865,0.27014994647554785,0.2708602443190418,0.2715705421625358,0.2721793688855307,0.2727881956085256,0.27336319862468733,0.27393820164084914,0.27427643870917967,0.2746484994843432
CU,1,2017,37544,0.0002397187300234392,0.009135947155337738,0.028073726827189432,0.04376198593650117,0.058011932665672276,0.07098337950138504,0.08379501385041553,0.09490198167483486,0.10571595994033668,0.1158374174302152,0.12529298955891754,0.13373641593863198,0.14191348817387595,0.14963775836352014,0.15669614319198807,0.16394097592158535,0.17046665246111228,0.17667270402727467,0.18250585979117834,0.1879927551672704,0.19321329639889195,0.19784785851267847,0.2024557852120179,0.20615810782015767,0.2107340117273815,0.21474424097940767,0.21826960624126443,0.2214212221773656,0.22445162211592443,0.22750222472074033,0.23032049666360002,0.23282562727947534,0.23542166989350743,0.23772477384681215,0.2399773711344742,0.24189662442889479,0.2437535266548681,0.24564163732161406,0.24751414376797373,0.24905896158622046,0.2505569667433082,0.2519925550188506,0.2535061643963247,0.2547857104680038,0.2559092143358196,0.2568922802201584,0.2576880954598613,0.2584214938180189,0.2594055817609664,0.2601928521153244,0.2611441371268403,0.26199701334406145,0.2626858749041247,0.2633747364641879,0.26396518922995643,0.26455564199572495,0.2651132918300618,0.26567094166439875,0.2659989709787146,0.26635980322446207
CU,1,2018,38648,0.00012937280066238873,0.0065203891533843926,0.02678016973711447,0.0431328917408404,0.05707927965224593,0.07071517284206169,0.08385944938936038,0.09625336369281724,0.10727592630925274,0.11734113020078657,0.12725108673152558,0.13679879942040984,0.1458509247410711,0.15452555717601965,0.16251453926753087,0.17017995602843125,0.1773523208569722,0.1839083707700639,0.19012544747965845,0.19602666279508527,0.2015041616061407,0.20694314073498055,0.2121278899611976,0.2168581069372708,0.22167150898747334,0.2258898767886442,0.2295982152335022,0.23291340604953573,0.23610108952649103,0.23931002422662606,0.2422745698601945,0.24490972153447757,0.2476405037130693,0.25006314315555533,0.2524326545400921,0.2544515207421638,0.2564047997363786,0.2583909069489835,0.26036060005239337,0.2619855968627065,0.2635613513454344,0.265071449391382,0.266663617983305,0.26800957493730176,0.2691913907993477,0.27022547967863786,0.2710625992475871,0.27183406237975594,0.27286922636444655,0.27369735755219904,0.2746980160707333,0.2755951581907985,0.2763197729800819,0.2770443877693653,0.27766548616017966,0.27828658455099403,0.278873177475652,0.27945977040031,0.2798048250618736,0.28018438518959354
