ODR
0.0443
0.0479
0.0452
0.0442
0.0418
0.0389
0.0420
0.0450
0.0437
0.0431
0.0449
0.0443
0.0452
0.0457
0.0435
0.0445
0.0432
0.0448
0.0325
0.0324
0.0350
0.0362
0.0344
0.0358
0.0342
0.0333
0.0375
0.0403
0.0423
0.0417
0.0427
0.0423
0.0405
0.0406
0.0431
0.0413
0.0422
0.0420
0.0408
0.0395
0.0379
0.0391
0.0366
0.0376
0.0352
0.0326
0.0330
0.0314
0.0288
0.0263
0.0268
0.0251
0.0273
0.0280
0.0244
0.0237
0.0232
0.0218
0.0207
0.0205
0.0230
0.0236
0.0247
0.0254
0.0228
0.0216
0.0215
0.0215
0.0200
0.0207
0.0200
0.0233
0.0191
0.0187
0.0164
0.0167
0.0160
0.0145
0.0155
0.0192
0.0155
0.0143
0.0145
0.0168
0.0169
0.0189
0.0200
0.0196
0.0208
0.0228
0.0227
0.0261
0.0216
0.0238
0.0230
0.0225
0.0228
0.0205
0.0194
0.0194
