Segment,Aging,Year,N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
CU,0,2014,218263,3.20714000998795e-05,0.0001328672289852151,0.00035278540109867456,0.0018738860915501023,0.0034682928393726833,0.005200148444766177,0.007064871279144885,0.009053298085337414,0.01120208189202934,0.013511222699220666,0.0158020369920692,0.018115759427846222,0.020553185835437065,0.022912724557071055,0.0253455693360762,0.0276913631719531,0.030027993750658608,0.03229131827199296,0.034618785593527074,0.036964579429403975,0.039278301865181,0.041440830557630016,0.04351630830695079,0.04556429628475738,0.0475618863481213,0.049454098954014196,0.05125009735960745,0.05293613667914397,0.054457237369595395,0.0560104094601467,0.0575773264364551,0.05904802921246386,0.06049582384554414,0.06188405730701035,0.06327687239706226,0.06466052422994277,0.06597087000545214,0.0672674708952044,0.06844036781314286,0.06954454030229586,0.0705616618483206,0.0714871508226314,0.0722980990822998,0.07304032291318271,0.07377796511547995,0.07446520940333451,0.07507456600523223,0.07568392260712993,0.07622455478024219,0.07675144206759735,0.07720960492616706,0.07765860452756537,0.07811676738613507,0.07856576698753338,0.07900560333176031,0.07940420501871595,0.07977531693415742,0.08011893907808469,0.0804304898219121,0.08065957125119695
CU,0,2015,255698,2.3465181581396803e-05,6.257381755039148e-05,0.00019945404344187283,0.001623008392713279,0.0032773036942017534,0.005142785629922799,0.007039554474419041,0.00910840131717886,0.01116551556914798,0.013375153501396179,0.015588702297241276,0.017864824910636765,0.02004708679770667,0.02231147682031146,0.024568045115722453,0.026816791683939648,0.029034251343381647,0.031251711002823646,0.03341050770831215,0.035557571823009955,0.037626418665769774,0.0396483351453668,0.04175237976049871,0.04375865278570814,0.04566715422099508,0.04752090356592543,0.04927688132093329,0.051071967711910145,0.05282012373972421,0.05438055831488709,0.0558080235277554,0.057165093195879514,0.058412658683290444,0.059527254808406795,0.06057536625237585,0.06162347769634491,0.06262856964074807,0.06359064208558533,0.0645605362576164,0.06549132179367848,0.06636735523938396,0.06722383436710494,0.06800991795008174,0.06878426894226783,0.06953906561646943,0.07025084279110513,0.07091568960257805,0.07143583446096567,,,,,,,,,,,,
CU,0,2016,299541,3.6722852631192394e-05,8.012258755896522e-05,0.0004840739665020815,0.0018194504258181685,0.0034786556765184066,0.005288090778891704,0.0071743100276756774,0.00905719083531136,0.01104356331854404,0.013130089036225425,0.015253337606538003,0.017403293706036903,0.019599987981611867,0.021696529022738123,0.023756347211233188,0.025852888252359443,0.027865968264778444,0.029815617895379933,0.03170183714416391,0.03341111901208849,0.035103708674271636,0.03670949886659923,0.038195105177588375,0.03963731175364975,0.04110622585889745,0.04256512464070027,0.04403403874594797,0.04546622999856447,0.046868375280846364,0.04814365979949323,0.04930209887794993,0.050480568603296375,0.05158225418223215,0.05265389379083331,0.0536787952233584,0.05456014368650702,,,,,,,,,,,,,,,,,,,,,,,,
CU,0,2017,325631,4.91353710181156e-05,0.00012590938823392122,0.0006940371156308828,0.0020237630938086362,0.003534675752615691,0.0052390589348065755,0.007007932291458737,0.008868934468769865,0.010760646252967316,0.01258786786270349,0.01432910257315796,0.016131756497385078,0.017894487932659974,0.019666432250000768,0.02143837656734156,0.023124333985400654,0.024807220442771113,0.026468610175321147,0.028025587244457684,0.029573351431528325,0.031161038107551185,0.032705731333933195,0.03415215381827897,0.03541124770061818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU,0,2018,326584,4.286799108345786e-05,0.00010104597898243637,0.0005450358866325355,0.0019902995860176863,0.003646841241457022,0.005447296866962252,0.007287558484187835,0.009207432084854127,0.011213041667687332,0.013319697229502976,0.015423290791955516,0.017456458369056658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU,1,2014,35773,0.0005031727839431973,0.002180415397087189,0.017946495960640706,0.028541078467000252,0.039079752886254995,0.049422749000642946,0.059178710200430494,0.06882285522600844,0.0782154138596148,0.08665753501243954,0.0947642076426355,0.10264724792441227,0.10957985072540743,0.1167640399183742,0.12296983758700696,0.12934335951695414,0.1353534788807201,0.14119587398317165,0.14698236099851844,0.1526011237525508,0.15735331115645879,0.16241299303944315,0.16708131831269393,0.17147010315042072,0.17560730159617588,0.17907360299667346,0.18206468565678025,0.18497190618622983,0.18818662119475582,0.191205657898415,0.193721521818131,0.19626533978139937,0.19847370922203897,0.20068207866267856,0.20272272384200374,0.20462359880356693,0.20652447376513014,0.20839739468314092,0.2101864534704945,0.2115562016045621,0.2130377659128393,0.2144354680904593,0.21574930813742207,0.21695133201017527,0.21798563162161408,0.21885220697173846,0.21955105806054845,0.22022195510580606,0.22106057641237806,0.22173147345763564,0.22254214072065523,0.22326894585301763,0.22385598076761803,0.22444301568221844,0.22494618846616163,0.22544936125010484,0.22592457999049562,0.22639979873088642,0.22667933916641042,0.22698683364548683
CU,1,2015,32211,9.313588525658937e-05,0.0008071776722237744,0.021328117723758963,0.03706808233212257,0.05184564279283475,0.06541243674521126,0.07938281953369966,0.09294961348607618,0.10564713917605786,0.11688553599701965,0.1277513892769551,0.1374685666387259,0.14743410636118096,0.1561267889851293,0.16429170159262363,0.1718667535934929,0.17913135264350688,0.1856198193163826,0.19164260656297538,0.19723075967837075,0.20241532395765421,0.20822079413864827,0.213653720778616,0.21858992269721525,0.2237744869764987,0.22836919064915712,0.23243612430536154,0.2356337896991711,0.23830368507652666,0.24112880692930985,0.2438607928968365,0.2458787370773959,0.24811399832355407,0.25019403309428456,0.25224302256992953,0.2540126043898047,0.25559591443916674,0.25727236037378537,0.25901089689857504,0.2605631616528515,0.2618981093415293,0.26320201173512153,0.26475427648939803,0.2659650429977337,0.2670516283257272,0.2680450777684642,0.26885225544068797,0.2695662972276551,,,,,,,,,,,,
CU,1,2016,33858,0.000118140469017662,0.007265638844586213,0.02729044834307992,0.04356429795026286,0.0569732411837675,0.06952566601689408,0.08163506409120444,0.09389213775178687,0.10511548230846476,0.11589580010632643,0.1269123988422234,0.13692480359147025,0.1457558036505405,0.15458680370961073,0.16306338236162798,0.17047669679248625,0.17747651958178273,0.18338354303266585,0.18890660995924155,0.1941933959477819,0.19945064681906788,0.204294406048792,0.20896095457498967,0.21365703821844173,0.21773288439955107,0.221424774056353,0.22470317207159313,0.22780435938330676,0.2307283359914939,0.23377045306869867,0.23675349991139466,0.23947073069880087,0.24260145312776893,0.245023332742631,0.24750428259200188,0.2494240652135389,,,,,,,,,,,,,,,,,,,,,,,,
CU,1,2017,37544,0.00023971873002343917,0.009135947155337738,0.028073726827189432,0.04376198593650117,0.058011932665672276,0.07098337950138504,0.08379501385041552,0.09490198167483486,0.10571595994033667,0.11583741743021521,0.12529298955891754,0.133736415938632,0.14191348817387597,0.14963775836352014,0.15669614319198807,0.16394097592158535,0.17046665246111228,0.17667270402727467,0.18250585979117834,0.1879927551672704,0.19321329639889195,0.19784785851267847,0.2024557852120179,0.20615810782015767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU,1,2018,38648,0.00012937280066238873,0.0065203891533843926,0.02678016973711447,0.0431328917408404,0.057079279652245914,0.07071517284206169,0.08385944938936038,0.09625336369281723,0.10727592630925274,0.11734113020078658,0.12725108673152558,0.13679879942040984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
