Date,Segment,Amount,NPLRatio
2006-01-01,ForeignBanks,,
2006-02-01,ForeignBanks,,
2006-03-01,ForeignBanks,,
2006-04-01,ForeignBanks,,
2006-05-01,ForeignBanks,,
2006-06-01,ForeignBanks,,
2006-07-01,ForeignBanks,,
2006-08-01,ForeignBanks,,
2006-09-01,ForeignBanks,,
2006-10-01,ForeignBanks,,
2006-11-01,ForeignBanks,,
2006-12-01,ForeignBanks,5932,0.0103
2007-01-01,ForeignBanks,,
2007-02-01,ForeignBanks,,
2007-03-01,ForeignBanks,2962,0.0052
2007-04-01,ForeignBanks,,
2007-05-01,ForeignBanks,,
2007-06-01,ForeignBanks,2881,0.0052
2007-07-01,ForeignBanks,,
2007-08-01,ForeignBanks,,
2007-09-01,ForeignBanks,3670,0.0064
2007-10-01,ForeignBanks,,
2007-11-01,ForeignBanks,,
2007-12-01,ForeignBanks,3346,0.0061
2008-01-01,ForeignBanks,,
2008-02-01,ForeignBanks,,
2008-03-01,ForeignBanks,3011,0.0048
2008-04-01,ForeignBanks,,
2008-05-01,ForeignBanks,,
2008-06-01,ForeignBanks,1984,0.0029
2008-07-01,ForeignBanks,,
2008-08-01,ForeignBanks,,
2008-09-01,ForeignBanks,1953,0.003
2008-10-01,ForeignBanks,,
2008-11-01,ForeignBanks,,
2008-12-01,ForeignBanks,2646,0.0038
2009-01-01,ForeignBanks,,
2009-02-01,ForeignBanks,,
2009-03-01,ForeignBanks,2340,0.0034
2009-04-01,ForeignBanks,,
2009-05-01,ForeignBanks,,
2009-06-01,ForeignBanks,3131,0.0045
2009-07-01,ForeignBanks,,
2009-08-01,ForeignBanks,,
2009-09-01,ForeignBanks,2840,0.0038
2009-10-01,ForeignBanks,,
2009-11-01,ForeignBanks,,
2009-12-01,ForeignBanks,2150,0.0026
2010-01-01,ForeignBanks,,
2010-02-01,ForeignBanks,,
2010-03-01,ForeignBanks,2190,0.0024
2010-04-01,ForeignBanks,,
2010-05-01,ForeignBanks,,
2010-06-01,ForeignBanks,1874,0.0022
2010-07-01,ForeignBanks,,
2010-08-01,ForeignBanks,,
2010-09-01,ForeignBanks,1643,0.0019
2010-10-01,ForeignBanks,,
2010-11-01,ForeignBanks,,
2010-12-01,ForeignBanks,1619,0.0017
2011-01-01,ForeignBanks,,
2011-02-01,ForeignBanks,,
2011-03-01,ForeignBanks,1288,0.0012
2011-04-01,ForeignBanks,,
2011-05-01,ForeignBanks,,
2011-06-01,ForeignBanks,1190,0.001
2011-07-01,ForeignBanks,,
2011-08-01,ForeignBanks,,
2011-09-01,ForeignBanks,1196,0.001
2011-10-01,ForeignBanks,,
2011-11-01,ForeignBanks,,
2011-12-01,ForeignBanks,1877,0.0018
2012-01-01,ForeignBanks,,
2012-02-01,ForeignBanks,,
2012-03-01,ForeignBanks,1818,0.0016
2012-04-01,ForeignBanks,,
2012-05-01,ForeignBanks,,
2012-06-01,ForeignBanks,1746,0.0015
2012-07-01,ForeignBanks,,
2012-08-01,ForeignBanks,,
2012-09-01,ForeignBanks,1511,0.0015
2012-10-01,ForeignBanks,,
2012-11-01,ForeignBanks,,
2012-12-01,ForeignBanks,1280,0.0011
2013-01-01,ForeignBanks,,
2013-02-01,ForeignBanks,,
2013-03-01,ForeignBanks,1231,0.001
2013-04-01,ForeignBanks,,
2013-05-01,ForeignBanks,,
2013-06-01,ForeignBanks,1252,0.001
2013-07-01,ForeignBanks,,
2013-08-01,ForeignBanks,,
2013-09-01,ForeignBanks,983,0.0009
2013-10-01,ForeignBanks,,
2013-11-01,ForeignBanks,,
2013-12-01,ForeignBanks,1237,0.0011
2014-01-01,ForeignBanks,,
2014-02-01,ForeignBanks,,
2014-03-01,ForeignBanks,1167,0.001
2014-04-01,ForeignBanks,,
2014-05-01,ForeignBanks,,
2014-06-01,ForeignBanks,1180,0.001
2014-07-01,ForeignBanks,,
2014-08-01,ForeignBanks,,
2014-09-01,ForeignBanks,1032,0.0009
2014-10-01,ForeignBanks,,
2014-11-01,ForeignBanks,,
2014-12-01,ForeignBanks,944,0.0009
2015-01-01,ForeignBanks,,
2015-02-01,ForeignBanks,,
2015-03-01,ForeignBanks,969,0.0012
2015-04-01,ForeignBanks,,
2015-05-01,ForeignBanks,,
2015-06-01,ForeignBanks,1010,0.0012
2015-07-01,ForeignBanks,,
2015-08-01,ForeignBanks,,
2015-09-01,ForeignBanks,1004,0.0013
2015-10-01,ForeignBanks,,
2015-11-01,ForeignBanks,,
2015-12-01,ForeignBanks,889,0.0011
2016-01-01,ForeignBanks,,
2016-02-01,ForeignBanks,,
2016-03-01,ForeignBanks,848,0.001
2016-04-01,ForeignBanks,,
2016-05-01,ForeignBanks,,
2016-06-01,ForeignBanks,872,0.0009
2016-07-01,ForeignBanks,,
2016-08-01,ForeignBanks,,
2016-09-01,ForeignBanks,725,0.0008
2016-10-01,ForeignBanks,,
2016-11-01,ForeignBanks,,
2016-12-01,ForeignBanks,503,0.0006
2017-01-01,ForeignBanks,,
2017-02-01,ForeignBanks,,
2017-03-01,ForeignBanks,487,0.0006
2017-04-01,ForeignBanks,,
2017-05-01,ForeignBanks,,
2017-06-01,ForeignBanks,484,0.0006
2017-07-01,ForeignBanks,,
2017-08-01,ForeignBanks,,
2017-09-01,ForeignBanks,479,0.0005
2017-10-01,ForeignBanks,,
2017-11-01,ForeignBanks,,
2017-12-01,ForeignBanks,473,0.0005
2018-01-01,ForeignBanks,,
2018-02-01,ForeignBanks,,
2018-03-01,ForeignBanks,466,0.0005
2018-04-01,ForeignBanks,,
2018-05-01,ForeignBanks,,
2018-06-01,ForeignBanks,350,0.0004
2018-07-01,ForeignBanks,,
2018-08-01,ForeignBanks,,
2018-09-01,ForeignBanks,357,0.0004
2018-10-01,ForeignBanks,,
2018-11-01,ForeignBanks,,
2018-12-01,ForeignBanks,274,0.0003
2019-01-01,ForeignBanks,,
2019-02-01,ForeignBanks,,
2019-03-01,ForeignBanks,276,0.0003
2019-04-01,ForeignBanks,,
2019-05-01,ForeignBanks,,
2019-06-01,ForeignBanks,288,0.0003
2019-07-01,ForeignBanks,,
2019-08-01,ForeignBanks,,
2019-09-01,ForeignBanks,372,0.0004
2019-10-01,ForeignBanks,,
2019-11-01,ForeignBanks,,
2019-12-01,ForeignBanks,360,0.0004
2006-01-01,TotalBanks,,
2006-02-01,TotalBanks,,
2006-03-01,TotalBanks,,
2006-04-01,TotalBanks,,
2006-05-01,TotalBanks,,
2006-06-01,TotalBanks,,
2006-07-01,TotalBanks,,
2006-08-01,TotalBanks,,
2006-09-01,TotalBanks,,
2006-10-01,TotalBanks,,
2006-11-01,TotalBanks,,
2006-12-01,TotalBanks,234144,0.0412
2007-01-01,TotalBanks,,
2007-02-01,TotalBanks,,
2007-03-01,TotalBanks,238172,0.0416
2007-04-01,TotalBanks,,
2007-05-01,TotalBanks,,
2007-06-01,TotalBanks,252386,0.0439
2007-07-01,TotalBanks,,
2007-08-01,TotalBanks,,
2007-09-01,TotalBanks,258455,0.0442
2007-10-01,TotalBanks,,
2007-11-01,TotalBanks,,
2007-12-01,TotalBanks,235813,0.0394
2008-01-01,TotalBanks,,
2008-02-01,TotalBanks,,
2008-03-01,TotalBanks,247488,0.0374
2008-04-01,TotalBanks,,
2008-05-01,TotalBanks,,
2008-06-01,TotalBanks,230030,0.0342
2008-07-01,TotalBanks,,
2008-08-01,TotalBanks,,
2008-09-01,TotalBanks,227950,0.0328
2008-10-01,TotalBanks,,
2008-11-01,TotalBanks,,
2008-12-01,TotalBanks,215425,0.0292
2009-01-01,TotalBanks,,
2009-02-01,TotalBanks,,
2009-03-01,TotalBanks,228243,0.0308
2009-04-01,TotalBanks,,
2009-05-01,TotalBanks,,
2009-06-01,TotalBanks,222909,0.0305
2009-07-01,TotalBanks,,
2009-08-01,TotalBanks,,
2009-09-01,TotalBanks,217094,0.0294
2009-10-01,TotalBanks,,
2009-11-01,TotalBanks,,
2009-12-01,TotalBanks,203216,0.0267
2010-01-01,TotalBanks,,
2010-02-01,TotalBanks,,
2010-03-01,TotalBanks,199433,0.025
2010-04-01,TotalBanks,,
2010-05-01,TotalBanks,,
2010-06-01,TotalBanks,188411,0.024
2010-07-01,TotalBanks,,
2010-08-01,TotalBanks,,
2010-09-01,TotalBanks,183003,0.0226
2010-10-01,TotalBanks,,
2010-11-01,TotalBanks,,
2010-12-01,TotalBanks,163442,0.019
2011-01-01,TotalBanks,,
2011-02-01,TotalBanks,,
2011-03-01,TotalBanks,161671,0.0174
2011-04-01,TotalBanks,,
2011-05-01,TotalBanks,,
2011-06-01,TotalBanks,153704,0.0161
2011-07-01,TotalBanks,,
2011-08-01,TotalBanks,,
2011-09-01,TotalBanks,137363,0.0145
2011-10-01,TotalBanks,,
2011-11-01,TotalBanks,,
2011-12-01,TotalBanks,129171,0.0134
2012-01-01,TotalBanks,,
2012-02-01,TotalBanks,,
2012-03-01,TotalBanks,131346,0.0131
2012-04-01,TotalBanks,,
2012-05-01,TotalBanks,,
2012-06-01,TotalBanks,127848,0.0124
2012-07-01,TotalBanks,,
2012-08-01,TotalBanks,,
2012-09-01,TotalBanks,124348,0.0116
2012-10-01,TotalBanks,,
2012-11-01,TotalBanks,,
2012-12-01,TotalBanks,111899,0.01
